"PlotID","Species","Distance","Bearing","OMU","Planted","SnagDamage","DBH","TotHeight","LYHeight","LYGrowth","BudScars","Sprouts","CompType","CompCover","CompHeight","Subsample","Comments"
"C1030C","PIPJ",0.4,145,"O","N",NA,NA,54,49,6,5,NA,"S","20","36","N",NA
"C1030C","PIPJ",4.94,193,"M","U",NA,NA,37,34,4,6,NA,"S","90","50","N",NA
"C1030C","ABCO",9.1,348,"N","N",NA,NA,32,30,4,6,NA,"S","100","57","N",NA
"C1030C","PIPJ",4.45,166,"O","N",NA,NA,56,50,5,8,NA,"S","50","25","N","Distance with tape"
"C1030C","PIPJ",7.1,50,"O","N",NA,NA,52,46,4,8,NA,"S","100","70","N",NA
"C1030C","PIPJ",9.1,168,"O","N",NA,NA,40,35,4,6,NA,"S","90","39","N",NA
"C1030C","PIPJ",6,305,"M","N",NA,NA,41,33,4,5,NA,"S","95","60","N",NA
"C1030C","PIPJ",4.7,252,"O","N",NA,NA,45,39,4,6,NA,"S","40","40","N",NA
"C1030C","PIPJ",4.7,252,"M","N",NA,NA,29,25,2,6,NA,"S","40","40","N",NA
"C1030T","PIPJ",11.13,94,"O","U",NA,NA,68,60,4,7,NA,"S","10","24","N",NA
"C1030T","PIPJ",2.31,27,"O","U",NA,NA,96,89,7,7,NA,"S","50","75","N",NA
"C1030T","PIPJ",0.8,342,"O","U",NA,NA,64,57,7,7,NA,"S","40","58","N",NA
"C1030T","PIPJ",7.1,10,"O","U",NA,NA,78,71,5,7,NA,"S","25","80","N",NA
"C1030T","ABMA",6.2,316,"O","U",NA,NA,42,39,2,6,NA,"S","10","10","N",NA
"C1030T","PIJE",8,348,"O","Y",NA,NA,83,77,6,7,NA,"S","100","50","N",NA
"C1030T","PIPJ",6.34,61,"O","U",NA,NA,100,90,5,6,NA,"S","10","90","N",NA
"C1030T","PIJE",8.2,350,"U","Y",NA,NA,72,69,3,8,NA,"S","100","90","N",NA
"C1030T","PIPJ",11.07,29,"U","U",NA,NA,78,68,4,7,NA,"S","100","115","N",NA
"C1031T","PIPJ",8.9,86,"O","N",NA,NA,29,22,3,4,NA,"S","50","45","N",NA
"C1031T","PIJE",6.2,66,"M","U",NA,NA,43,40,3,7,NA,"S","60","100","N",NA
"C1031T","PIJE",6.2,66,"M","U",NA,NA,30,28,3,6,NA,"S","60","100","N",NA
"C1031T","PIPJ",2.8,29,"M","U",NA,NA,92,83,7,7,NA,"S","100","95","N",NA
"C1031T","PIPJ",4.9,220,"O","U",NA,NA,49,42,6.5,6,NA,"S","80","72","N",NA
"C1031T","PIPJ",9.97,179,"O","U",NA,NA,110,100,8,8,NA,"S","20","80","N",NA
"C1026C","ABCO",5.4,69,"O","N","N",NA,89,84,7,12,NA,"S","100","105","N",NA
"C1026C","ABCO",5,69,"M","N","N",NA,74,69,5,9,NA,"S","100","105","N",NA
"C1026C","PILA",11,46,"O","U","N",NA,44,39,3,6,NA,"S","50","77","N",NA
"C1026C","PILA",11,46,"O","U","N",NA,37,33,3,7,NA,"S","50","77","N",NA
"C1026C","PILA",9.98,290,"N","N","N",NA,84,76,11,5,NA,"S","80","86","N",NA
"C1026C","ABCO",8.4,189,"O","N","N",NA,113,107,35,9,NA,"S","70","40","N",NA
"C1026C","ABCO",10,35,"O","U","N",NA,56,50,7,7,NA,"S","80","56","N",NA
"C1026C","ABCO",6.3,238,"O","N","N",NA,123,113,23,6,NA,"S","90","55","N",NA
"C1026C","ABCO",8.3,20,"M","U","SD2",NA,71,64,12,9,NA,"S","20","30","N","Completely squashed--bud scar readings difficult"
"C1026C","PILA",11.6,202,"O","N","SD2",NA,74,53,17,6,NA,"S","0.5",NA,"N","""Steam-rolled"""
"C1026C","ABCO",6.4,22,"O","U","N",NA,65,60,10,7,NA,"S","50","30","N",NA
"C1026C","ABCO",6.6,1,"O","N","N",NA,32,31,6,6,NA,"S","100","70","N",NA
"C1026C","ABCO",7.21,311,"O","N","SD2",NA,103,88,20,9,NA,"S","30","87","N",NA
"C1026T","ABCO",8.35,210,"O","U","N",NA,95,81,21,8,NA,"C","30","100","N",NA
"C1026T","PIPJ",5,11,"O","U","N",NA,90,81,10,7,NA,"S","40","11","N",NA
"C1026T","PIPO",4,353,"O","Y","N","3",189,176,24,7,NA,"S","20","20","N",NA
"C1026T","PIPO",4,353,"O","Y","N","1.5",174,155,21,7,NA,"S","20","20","N",NA
"C1026T","ABCO",10.8,16,"O","Y","N",NA,88,78,15,7,NA,"S","5","8","N",NA
"C1026T","PIPO",6.1,346,"O","Y","SD2","4.5",230,201,26,8,NA,"NONE",NA,NA,"N",NA
"C1026T","PIPO",8.66,204,"O","U","SD2","2.3",149,110,23,6,NA,"C","10","50","N",NA
"C1026T","ABMA",10.7,26,"M","Y","N","1.5",159,137,16,11,NA,"S","40","122","N",NA
"C1026T","PIPO",7.3,307,"O","Y","N","6",293,255,33,11,NA,"S","0.5",NA,"N",NA
"C1026T","PSME",8.99,194,"M","U","N",NA,32,30,5,6,NA,"SC","20","110","N",NA
"C1026T","PIPJ",10.9,35,"O","U","SD2","1",145,130,16,7,NA,"S","10","90","N",NA
"C1026T","PIJE",10.11,193,"O","Y","SD2","3.5",209,191,20,9,NA,"NONE",NA,NA,"N",NA
"C1026T","PIPO",10.2,288,"O","Y","N","8",390,340,45,9,NA,"S","0.5",NA,"N",NA
"C1026T","PIPJ",8.3,35,"O","U","N","1",150,140,14,7,NA,"S","40","75","N",NA
"C1026T","PIPO",8.97,245,"O","Y","N","5.6",241,199,25,8,NA,"S","0.5",NA,"N",NA
"C1026T","PIPJ",3.7,80,"O","U","SD2",NA,57,49,16,3,NA,"S","10","38","N",NA
"C1026T","PIPO",4.4,158,"O","Y","N","4.5",239,217,29,8,NA,"S","0.5",NA,"N",NA
"C1026T","PIPO",10.83,253,"O","Y","N","2.1",188,172,20,7,NA,"S","0.5",NA,"N",NA
"C1026T","PIPJ",5.3,80,"O","U","SD1","4",215,201,31,7,NA,"NONE",NA,NA,"N",NA
"C1026T","PIPO",6,174,"O","Y","N","5.5",247,209,32,8,NA,"NONE",NA,NA,"N",NA
"C1026T","ABMA",9.8,81,"O","N","SD2",NA,130,121,33,7,NA,"S","30","80","N",NA
"C1026T","PIJE",6.22,112,"O","U","SD1",NA,129,112,16,6,NA,"S","30","48","N",NA
"C1026T","PIJE",7.1,155,"O","Y","SD1","3.5",217,197,29,10,NA,"S","0.5",NA,"N",NA
"C1023C","ABCO",10.35,82,"O","N",NA,NA,50,43,6,7,NA,"S","40","49","N",NA
"C1023C","ABCO",10,213,"M","N",NA,NA,71,66,5,8,NA,"S","80","60","N",NA
"C1023C","ABCO",5.2,309,"O","N",NA,NA,54,49,4,8,NA,"S","60","35","N",NA
"C1023T","ABCO",8.6,275,"O","N","N",NA,41,37,4.5,8,NA,"S","70","65","N",NA
"C1023T","PIJE",3.5,270,"O","Y","N","4",202,180,22,10,NA,"S","40","64","N",NA
"C1023T","PSME",5.4,282,"O","Y","SD1",NA,89,81,10,8,NA,"S","60","73","N",NA
"C1023T","PSME",3.7,298,"O","Y","SD2","0.7",75,67,7,8,NA,"F","0.5","22","N",NA
"C1023T","PSME",8.5,329,"O","Y","N","2.4",216,202,17,11,NA,"S","60","77","N",NA
"C1023T","PIJE",11,340,"O","Y","SD2","1.7",177,159,13,9,NA,"S","30","70","N",NA
"C1023T","ABMA",10.3,328,"O","Y","N",NA,114,110,8,11,NA,"S","20","68","N",NA
"C1020C","ABCO",6.01,224,"U","N",NA,NA,51,46,7,5,NA,"S","75","100","N",NA
"C1020C","PILA",6.44,102,"U","N",NA,NA,72,61,5,6,NA,"S","100","104","N",NA
"C1020T","PIJE",7.1,26,"O","Y","SD1",NA,81,61,11,9,NA,"S","20","45","N",NA
"C1020T","PIJE",6.78,209,"O","Y","N","3.2",193,176,12,11,NA,"S","10","46","N",NA
"C1020T","PIJE",5.9,34,"O","Y","SD1","2.6",186,164,22,10,NA,"S","50","102","N",NA
"C1020T","PIJE",5.3,231,"O","Y","N","1.5",158,149,14,10,NA,"S","40","55","N",NA
"C1020T","PILA",5,358,"M","Y","SD2",NA,84,67,15,7,NA,"S","60","87","N",NA
"C1020T","PIJE",7.5,38,"O","Y","SD1","2.8",195,171,20,9,NA,"S","10","80","N",NA
"C1020T","PIJE",10.06,280,"O","Y","N","2.1",172,155,14,10,NA,"S","20","35","N","Distance with tape"
"C1020T","PIPO",4.1,94,"O","Y","N","5.8",320,305,24,9,NA,"S","40","77","N","Distance with tape"
"C1020T","PIJE",2,94,"O","Y","SD1","2.2",183,171,27,8,NA,"S","65","102","N",NA
"C1020T","PIJE",3.4,332,"O","Y","N","3.1",190,159,25,7,NA,"S","40","58","N",NA
"C1020T","PIJE",3.17,130,"O","Y","N","2",157,148,21,9,NA,"S","75","70","N",NA
"C1020T","PIJE",4.5,308,"O","Y","N","4.5",223,203,53,9,NA,"S","10","22","N",NA
"C1020T","ABMA",7.75,349,"O","Y","N",NA,114,108,12,10,NA,"S","10","40","N",NA
"C1020T","PIJE",10.28,124,"O","Y","N","1",144,132,23,9,NA,"S","30","23","N",NA
"C1020T","PIPO",8.99,112,"O","Y","N","5",249,215,20,10,NA,"S","40","64","N",NA
"C1020T","PIJE",5.6,336,"O","Y","N","3",161,130,27,8,NA,"S","30","56","N",NA
"C1020T","PIJE",10.6,322,"O","Y","N","2.2",167,144,28,8,NA,"S","5","49","N",NA
"C1032T","PIPO",1.59,197,"O","U",NA,"2.1",177,159,19,8,NA,"FS","10","20","N",NA
"C1032T","PIPO",3.06,52,"O","N",NA,NA,40,33,3,3,NA,"S","30","60","N",NA
"C1032T","PSME",1.58,119,"O","U",NA,NA,88,83,12,11,NA,"F","0.5","10","N",NA
"C1032T","PIJE",6.2,278,"O","U",NA,NA,140,120,20,8,NA,"S","40","102","N",NA
"C1032T","PIPO",3.6,36,"O","N",NA,NA,48,44,7,4,NA,"S","40","50","N",NA
"C1032T","PIPJ",3.1,146,"O","U",NA,NA,60,52,10,7,NA,"S","10","50","N",NA
"C1032T","PIPO",4.5,181,"O","Y",NA,"1",141,131,20,8,NA,"S","40","60","N",NA
"C1032T","PIPJ",7.55,81,"O","N",NA,NA,39,29,6,4,NA,"S","30","52","N",NA
"C1032T","ABCO",4.8,36,"M","U",NA,NA,56,48,4,8,NA,"S","50","60","N",NA
"C1032T","PIPJ",7.61,71,"O","U",NA,NA,75,65,7,8,NA,"S","10","32","N",NA
"C1032T","ABCO",4.9,209,"M","N",NA,NA,94,90,21,8,NA,"S","60","124","N",NA
"C1032T","ABCO",9.21,112,"O","U",NA,NA,35,29,2,8,NA,"FS","60","46","N",NA
"C1032T","PSME",6.3,302,"O","N",NA,NA,78,73,8,8,NA,"S","50","82","N",NA
"C1032T","PIPO",9.3,37,"O","U",NA,"2.0",185,160,20,8,NA,"S","60","60","N",NA
"C1032T","PIJE",3.9,270,"O","Y",NA,"2.0",161,149,17,7,NA,"S","70","90","N",NA
"C1032T","PIPO",9.59,141,"O","U",NA,NA,104,94,10,8,NA,"S","80","92","N",NA
"C1032T","PIPO",5.8,323,"O","Y",NA,"2.0",178,169,15,9,NA,"S","10","95","N",NA
"C1032T","PIJE",7.75,166,"O","U",NA,NA,131,112,17,7,NA,"SF","100","99","N",NA
"C1032T","PIJE",8.9,223,"O","Y",NA,NA,135,120,19,8,NA,"S","80","126","N",NA
"C1032T","PIPO",6.9,345,"O","U",NA,NA,105,94,14,8,NA,"S","5","75","N",NA
"C1032T","PIJE",8.9,223,"M","Y",NA,NA,130,117,20,9,NA,"S","80","126","N",NA
"C1032T","PIPO",8.6,301,"O","Y",NA,NA,119,107,14,7,NA,"S","90","85","N",NA
"C1032T","PSME",8.2,291,"M","N",NA,NA,72,68,6,8,NA,"S","80","86","N",NA
"C1032T","PIJE",10,2,"U","N",NA,NA,51,43,4,4,NA,"S","30","72","N",NA
"C1032C","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1029T","PIPO",4.9,125,"O","Y",NA,"1",147,136,12,10,NA,"F","10","36","N",NA
"C1029T","PIPO",10.4,91,"O","Y",NA,"3",184,168,17,8,NA,"S","30","40","N",NA
"C1029T","PIPO",7.65,190,"O","Y",NA,NA,110,96,6,10,NA,"NONE",NA,NA,"N","Distance with tape"
"C1029C","PIJE",2.1,127,"O","U",NA,NA,36,33,3,6,NA,"S","80","29","N",NA
"C1029C","ABCO",9.3,305,"O","U",NA,NA,70,64,5,8,NA,"S","100","54","N",NA
"C1029C","ABCO",6.9,66,"O","N",NA,NA,47,45,4,7,NA,"S","50","42","N",NA
"C1031C","ABCO",0.55,230,"O","N",NA,NA,52,47,5,10,NA,"S","90","45","N",NA
"C1031C","PIJE",5.44,158,"O","N",NA,NA,65,59,9,8,NA,"S","60","75","N",NA
"C1031C","ABCO",6.5,220,"O","N",NA,NA,42,35,4,10,NA,"S","70","43","N",NA
"C1031C","PIJE",6.75,129,"M","N",NA,NA,44,41,5,5,NA,"S","25","65","N",NA
"C1040T","PIJE",2.5,349,"O","Y",NA,NA,82,71,14,6,NA,"S","20","12","N",NA
"C1040T","PIJE",7.27,268,"O","Y",NA,NA,79,71,7,8,NA,"S","70","54","N",NA
"C1040T","ABCO",10.7,1,"O","Y",NA,NA,94,91,13,9,NA,"S","70","72","N",NA
"C1040T","PIJE",5.72,321,"O","Y",NA,NA,94,85,14,7,NA,"S","30","60","N",NA
"C1040T","PIJE",11.11,254,"O","Y",NA,NA,83,67,9,7,NA,"S","70","55","N",NA
"C1040T","ABMA",8.92,233,"U","Y",NA,NA,45,38,7,9,NA,"S","100","128","N",NA
"C1040T","PIJE",11.28,197,"M","Y",NA,NA,60,53,8,7,NA,"S","80","84","N",NA
"C1040T","PSME",8,8,"O","Y",NA,NA,55,50,12,8,NA,"S","30","14","N",NA
"C1040T","PIJE",11.29,197,"U","U",NA,NA,36,32,4,5,NA,"S","80","84","N",NA
"C1040T","ABCO",10.1,24,"M","N",NA,NA,33,31,9,6,NA,"S","80","71","N",NA
"C1040T","ABMA",10.5,40,"O","U",NA,NA,51,44,8,9,NA,"S","40","13","N",NA
"C1040T","ABCO",5.63,185,"M","N",NA,NA,49,45,5,7,NA,"S","35","54","N",NA
"C1040T","PSME",10.7,50,"M","Y",NA,NA,90,82,10,9,NA,"S","80","79","N",NA
"C1040T","PIJE",2.45,164,"M","Y",NA,NA,99,81,11,8,NA,"S","100","104","N",NA
"C1040T","PIJE",5.5,36,"O","U",NA,NA,114,98,11,6,NA,"S","90","79","N",NA
"C1040T","PSME",5.86,169,"O","Y",NA,NA,119,108,10,8,NA,"S","80","50","N",NA
"C1040T","ABMA",9,80,"O","Y",NA,NA,79,75,12,12,NA,"S","70","66","N",NA
"C1040T","PIJE",10.35,157,"M","Y",NA,NA,80,64,10,6,NA,"S","60","55","N",NA
"C1040T","ABMA",9.9,80,"M","N",NA,NA,35,33,5,6,NA,"S","60","86","N",NA
"C1040T","PSME",9.6,101,"O","Y",NA,NA,89,79,13,8,NA,"S","70","23","N",NA
"C1040T","PSME",6.5,126,"O","U",NA,NA,93,86,6,9,NA,"FS","40","20","N",NA
"C1040T","PIJE",7.8,128,"O","U",NA,NA,125,118,20,7,NA,"S","90","47","N",NA
"C1040T","ABCO",6.6,145,"U","N",NA,NA,54,51,9,8,NA,"S","70","90","N",NA
"C1040T","ABCO",4.8,141,"O","Y",NA,NA,53,50,10,9,NA,"FS","50","25","N",NA
"A4013C","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4013T","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4060C","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4060T","PILA",9.76,200,"U","U","SD2",NA,38,38,15,6,NA,"SC","100","100","N","LY growth unclear"
"A4060T","PILA",9.52,200,"U","U","N",NA,68,66,10,11,NA,"SC","100","100","N","Some yellow needles"
"A4060T","PSME",8.35,206,"U","U","N",NA,90,83,11,7,NA,"S","100","90","N",NA
"A4014C","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4014T","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4022C","ABMA",9.04,271,"U","N","SD1",NA,35,30,4,5,NA,"S","80","72","N","Base covered by snag; tree browsing"
"A4022C","ABCO",8.1,181,"U","N","N",NA,31,25,4.5,5,NA,"CS","95","70","N",NA
"A4022C","PILA",7.48,238,"U","N","N",NA,26,23,2,5,NA,"S","100","80","N",NA
"A4022C","ABCO",8.2,181,"U","N","N",NA,26,23,3,4,NA,"CS","90","70","N",NA
"A4022C","PIPJ",8.12,229,"U","U","SD1",NA,49,40,3,8,NA,"S","90","95","N",NA
"A4022C","ABCO",7.5,184,"U","N","N",NA,35,29,5,5,NA,"CS","95","80","N",NA
"A4022C","ABCO",5.71,227,"U","N","N",NA,45,39,4,6,NA,"S","90","90","N",NA
"A4022C","ABCO",9,124,"U","N","N",NA,30,26,3,6,NA,"S","90","110","N",NA
"A4022C","ABCO",5.24,152,"U","N","N",NA,48,42,5,7,NA,"S","100","120","N",NA
"A4022C","ABCO",7.6,126,"O","U","SD2",NA,54,48,7,11,NA,"S","20","70","N",NA
"A4022C","PSME",7.2,130,"O","U","SD2",NA,65,64,5,11,NA,"S","10","60","N",NA
"A4022C","PILA",10.19,158,NA,"U","N",NA,41,31,7,5,NA,"S","100","76","N",NA
"A4022C","ABCO",10.6,145,"M","N","N",NA,58,50,5,8,NA,"S","70","72","N",NA
"A4022C","ABCO",5.2,132,"U","N","SD1",NA,31,23,3,5,NA,"S","80","85","N",NA
"B1003T","QUCH",8.32,104,"O","N","N","1.6",300,NA,NA,NA,5,"SHF","80","150","N",NA
"B1003T","QUCH",2.73,109,"M","N","N",NA,73,NA,NA,NA,NA,"SF","90","100","N","Seeded"
"B1003T","QUCH",9,120,"O","N","N","1.0",300,NA,NA,NA,4,"S","80","195","N",NA
"B1003T","QUCH",6.4,183,"O","N","N","2",250,NA,NA,NA,9,"SF","30","20","N",NA
"B1003T","PIPJ",4.2,48,"M","U","N","1.7",148,133,13,8,NA,"H","40","200","N",NA
"B1003T","QUCH",10.3,183,"O","N","N","4.2",300,NA,NA,NA,6,"SHF","85","70","N",NA
"B1003T","QUCH",10.33,131,"O","N","N","2.4",300,NA,NA,NA,5,"SH","60","190","N",NA
"B1003T","QUCH",9,202,"O","N","N","1.3",184,NA,NA,NA,2,"SHF","50","75","N","Might be seeded"
"B1003T","PIPJ",5.2,49,"O","U","N",NA,74,65,8,7,NA,"F","60","12","N","Dead top, heights live growth"
"B1003T","QUCH",3.6,209,"O","N","N","2",217,NA,NA,NA,5,"SF","65","100","N",NA
"B1003T","QUCH",10.68,154,"O","N","N","3.9",315,NA,NA,NA,6,"SF","50","110","N",NA
"B1003T","QUCH",5.1,236,"O","N","N","5.2",350,NA,NA,NA,5,"S","90","100","N",NA
"B1003T","QUCH",6,230,"O","N","N","1",187,NA,NA,NA,3,"SF","30","30","N","Might be seeded"
"B1003T","QUCH",8.13,166,"O","N","N","0.5",175,NA,NA,NA,2,"F","30","15","N",NA
"B1003T","QUCH",4,93,"O","N","N","1.5",200,NA,NA,NA,3,"SF","100","80","N",NA
"B1003T","QUCH",10.65,254,"O","N","N","5.9",400,NA,NA,NA,24,"S","100","110","N",NA
"B1003T","QUCH",8.1,70,"O","N","N","7.5",400,NA,NA,NA,13,"SF","100","50","N",NA
"B1003T","QUCH",3.14,273,"M","N","N","3",430,NA,NA,NA,3,"SH","95","140","N",NA
"B1003T","QUCH",3.16,284,"M","N","N","3.2",400,NA,NA,NA,5,"SH","95","140","N",NA
"B1003T","QUCH",9.4,12,"O","N","N",NA,81,NA,NA,NA,NA,"F","70","25","N","Seeded"
"B1003T","QUCH",4.98,301,"O","N","N","4",500,NA,NA,NA,13,"SH","100","150","N",NA
"B1003T","QUCH",10,33,"M","N","SD1","3.7",250,NA,NA,NA,3,"SH","60","180","N",NA
"B1003T","QUCH",3.44,337,"O","N","SD1","6.4",670,NA,NA,NA,30,"FHG","60","200","N",NA
