plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,canopy_cover,litter_cover,grass_cover,forb_cover,shrub_cover,count_CADE,count_PIPJ,count_ABCO,count_PSME,count_ABMA,count_PILA,plot_size_CADE,plot_size_PIPJ,plot_size_ABCO,plot_size_PSME,plot_size_ABMA,plot_size_PILA,distance_seed_source_CADE,distance_seed_source_PIPJ,distance_seed_source_PSME,distance_seed_source_ABCO,distance_seed_source_PILA,distance_seed_source_ABMA
A4013C,DJNY,-120.84389000000003,40.241829999999986,2007,2018,11,126,high,0,90,10,20,50,0,0,0,0,0,0,401,401,401,401,401,401,NA,126,NA,NA,NA,NA
A4014C,DJNY,-120.83483000000003,40.24004000000006,2007,2018,11,71,high,0,100,0,0.5,100,0,0,0,0,0,0,401,401,401,401,401,401,93,116,71,112,191,147
A4017C,DJNY,-120.82527000000005,40.252460000000006,2007,2018,11,38.1,high,0,100,0.5,0.5,95,0,0,0,0,0,0,401,401,401,401,401,401,56,236,NA,45,211,38.1
A4022C,DJNY,-120.81793000000002,40.25851999999998,2007,2018,11,38.9,high,0,90,0.5,0.5,95,0,1,9,1,1,2,401,401,401,401,401,401,NA,NA,38.9,209,59.7,39.7
A4025C,DJNY,-120.81739000000003,40.25542000000002,2007,2018,11,52.4,high,0,95,20,20,50,0,0,0,0,0,0,401,401,401,401,401,401,NA,NA,328,52.4,366,54.9
A4057C,DJNY,-120.78580000000002,40.27583000000007,2007,2018,11,3.8,high,5,100,10,0.5,40,0,0,0,0,0,0,401,401,401,401,401,401,106.5,22.1,NA,3.8,NA,NA
A4060C,DJNY,-120.78340000000003,40.23621000000003,2007,2018,11,12.8,high,0,100,5,0.5,80,0,0,0,0,0,0,401,401,401,401,401,401,129,116,31,12.8,168,NA
B1016C,DJNY,-120.29056000000003,38.493139999999975,2004,2018,14,3.4,high,20,90,60,0.5,80,0,0,0,2,0,0,401,401,401,401,401,401,3.4,22.4,21,NA,NA,NA
B1018C,DJNY,-120.28918000000004,38.49778000000004,2004,2018,14,80.1,high,0,80,0.5,0.5,80,0,0,0,0,0,0,401,401,401,401,401,401,80.1,168,NA,NA,NA,NA
B1019C,DJNY,-120.28854000000003,38.49644000000003,2004,2018,14,41.7,high,0,95,5,0.5,90,0,0,0,0,0,0,401,401,401,401,401,401,42,41.7,52.5,NA,45.1,NA
