"PlotID","Species","DBH","Height","L_Decay","Comments"
"C1030C","SNAG",60,12,"D2",NA
"C1030C","SNAG",60,5,"D4",NA
"C1030C","SNAG",60,11,"D3",NA
"C1030T","PIPJ",30,5.5,"L",NA
"C1030T","ABCO",NA,0.95,"L","Top killed--maybe in fire"
"C1031T","NONE",NA,NA,NA,NA
"C1026C","SNAG",105,5,"D5",NA
"C1026T","SNAG",45,4,"D4",NA
"C1026T","SNAG",45,5,"D4",NA
"C1026T","SNAG",15,7,"D2",NA
"C1026T","SNAG",15,3,"D4",NA
"C1026T","SNAG",30,3,"D4",NA
"C1023C","SNAG",60,11,"D4",NA
"C1023C","SNAG",60,11,"D4",NA
"C1023C","SNAG",15,4,"D3",NA
"C1023C","SNAG",30,15,"D3",NA
"C1023C","SNAG",45,15,"D3",NA
"C1023C","SNAG",60,3,"D3",NA
"C1023C","SNAG",105,20,"D3",NA
"C1023C","SNAG",15,6,"D3",NA
"C1023T","SNAG",15,9,"D3",NA
"C1023T","SNAG",45,3,"D3",NA
"C1023T","SNAG",3,6,"D4",NA
"C1020C","SNAG",15,10,"D3",NA
"C1020C","SNAG",15,10,"D3",NA
"C1020C","SNAG",15,10,"D3",NA
"C1020C","SNAG",30,7,"D3",NA
"C1020C","SNAG",30,3,"D4",NA
"C1020C","SNAG",30,5,"D4",NA
"C1020C","SNAG",30,15,"D3",NA
"C1020C","SNAG",30,12,"D4",NA
"C1020C","SNAG",30,12,"D4",NA
"C1020C","SNAG",15,7,"D4",NA
"C1020C","SNAG",30,4,"D3",NA
"C1020T","SNAG",30,4,"D4",NA
"C1020T","SNAG",30,9,"D3",NA
"C1020T","SNAG",45,20,"D2",NA
"C1020T","SNAG",30,10,"D3",NA
"C1020T","SNAG",15,6,"D2",NA
"C1020T","SNAG",60,15,"D2",NA
"C1020T","SNAG",15,6,"D3",NA
"C1020T","SNAG",30,4,"D4",NA
"C1020T","SNAG",30,10,"D2",NA
"C1032T","SNAG",30,7,"D4",NA
"C1032T","SNAG",45,6,"D4",NA
"C1032T","SNAG",45,5,"D4",NA
"C1032T","SNAG",60,6,"D4",NA
"C1032T","SNAG",60,10,"D4",NA
"C1032T","SNAG",45,3,"D4",NA
"C1032T","SNAG",75,4,"D4",NA
"C1032T","SNAG",45,7,"D4",NA
"C1032T","SNAG",15,5,"D3",NA
"C1032T","SNAG",60,5,"D4",NA
"C1032T","SNAG",45,6,"D4",NA
"C1032T","SNAG",45,6,"D4",NA
"C1032T","SNAG",30,5,"D4",NA
"C1032T","SNAG",30,5,"D4",NA
"C1032T","SNAG",15,7,"D3",NA
"C1032T","SNAG",60,7,"D4",NA
"C1032C","SNAG",30,5,"D4",NA
"C1032C","SNAG",30,4,"D4",NA
"C1032C","SNAG",45,6,"D4",NA
"C1032C","SNAG",30,10,"D3",NA
"C1029T","SNAG",60,5,"D3",NA
"C1029T","SNAG",30,5,"D4",NA
"C1029T","SNAG",30,4,"D4",NA
"C1029T","SNAG",45,4,"D4",NA
"C1029T","SNAG",30,3,"D4",NA
"C1029T","SNAG",45,5,"D4",NA
"C1029T","SNAG",75,10,"D4",NA
"C1029C","SNAG",60,4,"D4",NA
"C1029C","SNAG",15,3,"D3",NA
"C1029C","SNAG",45,5,"D4",NA
"C1029C","SNAG",45,15,"D4",NA
"C1029C","SNAG",60,15,"D3",NA
"C1029C","SNAG",30,4,"D5",NA
"C1029C","SNAG",30,6,"D4",NA
"C1029C","SNAG",45,5,"D3",NA
"C1029C","SNAG",60,10,"D4",NA
"C1031C","SNAG",75,3,"D4",NA
"C1031C","SNAG",45,19,"D4",NA
"C1031C","SNAG",30,6,"D4",NA
"C1040T","SNAG",60,10,"D3",NA
"C1040T","SNAG",60,6,"D4",NA
"C1040T","SNAG",45,5,"D4",NA
"C1040T","SNAG",30,10,"D3",NA
"C1040T","SNAG",60,5,"D4",NA
"C1040T","SNAG",75,7,"D4",NA
"C1040T","SNAG",75,3,"D4",NA
"C1040T","SNAG",105,30,"D3",NA
"C1040T","SNAG",120,30,"D3",NA
"C1040T","SNAG",30,4,"D4",NA
"C1040T","SNAG",30,4,"D4",NA
"A4013C","SNAG",45,20,"D2",NA
"A4013C","SNAG",75,18,"D3",NA
"A4013C","SNAG",75,15,"D3",NA
"A4013C","SNAG",15,5,"D4",NA
"A4013C","SNAG",30,5,"D4",NA
"A4013C","SNAG",60,12,"D3",NA
"A4013C","SNAG",60,10,"D3",NA
"A4013C","SNAG",60,10,"D3",NA
"A4013C","SNAG",45,7,"D4",NA
"A4013C","SNAG",30,4,"D4",NA
"A4013C","SNAG",60,5,"D4",NA
"A4013C","SNAG",15,6,"D4",NA
"A4013T","SNAG",30,15,"D4",NA
"A4013T","SNAG",45,4,"D4",NA
"A4013T","SNAG",30,5,"D4",NA
"A4013T","SNAG",15,4,"D3",NA
"A4013T","SNAG",15,5,"D4",NA
"A4013T","SNAG",30,6,"D4",NA
"A4013T","SNAG",30,4,"D4",NA
"A4013T","SNAG",30,8,"D4",NA
"A4060C","SNAG",15,4,"D2",NA
"A4060C","SNAG",15,5,"D2",NA
"A4060T","SNAG",45,15,"D3",NA
"A4060T","SNAG",45,4,"D4",NA
"A4060T","CADE",30,15,"D2",NA
"A4060T","SNAG",45,5,"D4",NA
"A4060T","SNAG",45,6,"D4",NA
"A4060T","SNAG",60,5,"D4",NA
"A4060T","SNAG",45,8,"D4",NA
"A4060T","SNAG",60,20,"D3",NA
"A4060T","SNAG",15,3,"D3",NA
"A4060T","SNAG",15,3,"D3",NA
"A4060T","SNAG",30,5,"D4",NA
"A4060T","SNAG",15,5,"D3",NA
"A4060T","SNAG",15,5,"D3",NA
"A4060T","SNAG",15,6,"D3",NA
"A4060T","SNAG",15,6,"D3",NA
"A4060T","SNAG",15,7,"D3",NA
"A4060T","SNAG",15,8,"D3",NA
"A4060T","SNAG",15,8,"D3",NA
"A4060T","SNAG",15,15,"D3",NA
"A4060T","SNAG",15,9,"D3",NA
"A4014C","SNAG",60,4,"D4",NA
"A4014C","SNAG",60,6,"D4",NA
"A4014C","SNAG",30,6,"D4",NA
"A4014C","SNAG",60,3,"D4",NA
"A4014C","SNAG",75,4,"D4",NA
"A4014C","SNAG",45,5,"D4",NA
"A4014C","SNAG",15,11,"D4",NA
"A4014T","SNAG",45,9,"D4",NA
"A4014T","SNAG",75,9,"D4",NA
"A4014T","SNAG",45,4,"D4",NA
"A4014T","SNAG",30,4,"D4",NA
"A4014T","SNAG",60,15,"D4",NA
"A4014T","SNAG",45,4,"D4",NA
"A4014T","SNAG",15,10,"D3",NA
"A4014T","SNAG",60,4,"D4",NA
"A4014T","SNAG",60,5,"D4",NA
"A4014T","SNAG",60,3,"D5",NA
"A4014T","SNAG",75,19,"D3",NA
"A4014T","SNAG",15,6,"D3",NA
"A4014T","SNAG",75,6,"D4",NA
"A4022C","SNAG",105,8,"D4",NA
"A4022C","SNAG",45,3,"D4",NA
"A4022C","SNAG",15,12,"D3",NA
"A4022C","SNAG",15,9,"D3",NA
"A4022C","SNAG",45,4,"D4",NA
"A4022C","SNAG",60,6,"D4",NA
"A4022C","SNAG",75,20,"D4",NA
"A4022C","SNAG",45,3,"D4",NA
"A4022C","SNAG",45,3,"D4",NA
"A4022C","SNAG",15,9,"D2",NA
"A4022C","SNAG",45,9,"D4",NA
"B1003T","CADE",15,3,"D3",NA
"B1003T","QUCH",60,21,"D3",NA
"B1003T","QUCH",60,20,"D3",NA
"B1003T","QUCH",45,15,"D3",NA
"B1018C","QUKE",90,35,"D3",NA
"B1018C","QUCH",15,6,"D3",NA
"B1018C","CADE",30,8,"D3",NA
"B1018C","CADE",15,3,"D2",NA
"B1018C","QUCH",15,3.5,"D4",NA
"B1018C","QUCH",15,4,"D4",NA
"B1018C","QUCH",15,5,"D4",NA
"B1018C","CADE",15,3,"D3",NA
"B1018C","CADE",30,15,"D3",NA
"B1018C","QUCH",45,5.5,"D4",NA
"B1018C","QUCH",45,10,"D3",NA
"B1018C","CADE",45,5,"D3",NA
"B1018C","CADE",30,15,"D3",NA
"B1018T","NONE",NA,NA,NA,NA
"B1016C","SNAG",160,5,"D5",NA
"B1016C","CADE",53,22,"L",NA
"B1016C","CADE",68,25,"L",NA
"B1016C","QUKE",51,16,"L",NA
"B1016C","CADE",15,8,"D3",NA
"B1016C","CADE",30,17,"D3",NA
"B1016C","SNAG",60,17,"D3",NA
"B1016C","SNAG",60,18,"D2",NA
"D1000C","SNAG",15,9,"D2",NA
"D1000C","SNAG",15,8,"D2",NA
"D1000C","SNAG",30,5,"D5",NA
"D1000C","QUCH",15,4,"D3",NA
"D1001T","SNAG",60,15,"D4",NA
"D1001T","SNAG",30,6,"D4",NA
"D1001T","SNAG",30,8,"D4",NA
"D1001T","SNAG",30,10,"D4",NA
"D1001T","SNAG",15,10,"D2",NA
"D1001T","SNAG",30,6,"D4",NA
"D1001T","SNAG",45,5,"D5",NA
"D1001T","SNAG",15,8,"D2",NA
"D1001C","SNAG",15,13,"D2",NA
"D1001C","SNAG",75,5,"D5",NA
"D1001C","SNAG",30,9,"D4",NA
"D1013C","SNAG",105,28,"D2",NA
"D1018T","SNAG",60,8,"D4",NA
"D1018T","SNAG",15,5,"D3",NA
"D1018T","SNAG",90,3,"D4",NA
"D1018C","NONE",NA,NA,NA,NA
"D1013T","NONE",NA,NA,NA,NA
"D1005T","PIPJ",102,30,"L",NA
"D1005T","SNAG",15,3,"D3",NA
