"PlotID","Species","Distance","Bearing","OMU","Planted","SnagDamage","DBH","TotHeight","LYHeight","LYGrowth","BudScars","Sprouts","CompType","CompCover","CompHeight","Subsample","Comments","DistanceMetric","distance_estimate","DronePlotTree","ExpansionFactor","PlotID_6digit","SlopeDeg","Aspect","SlopeAdjustedDistance","DistanceExpansion","SlopeDistance","HorizontalDistance","DensitySlope","DensityHorizontal"
"C1030C","PIPJ",0.4,145,"O","N",NA,NA,54,49,6,5,NA,"S",20,36,"N",NA,"horizontal",NA,FALSE,1,"C1030C",20.2,156,0.376162603924893,1.06336992520359,0.425347970081435,0.4,24.9409771775094,26.5755595115376
"C1030C","PIPJ",4.94,193,"M","U",NA,NA,37,34,4,6,NA,"S",90,50,"N",NA,"slope",NA,FALSE,1,"C1030C",20.2,156,4.73826841514827,1.04257495928403,4.94,4.73826841514827,24.9409771775094,26.5755595115376
"C1030C","ABCO",9.1,348,"N","N",NA,NA,32,30,4,6,NA,"S",100,57,"N",NA,"horizontal",NA,FALSE,1,"C1030C",20.2,156,8.56130649852462,1.06292188015558,9.6725891094158,9.1,24.9409771775094,26.5755595115376
"C1030C","PIPJ",4.45,166,"O","N",NA,NA,56,50,5,8,NA,"S",50,25,"N","Distance with tape","slope","yes",FALSE,1,"C1030C",20.2,156,4.18320578437912,1.06377745427135,4.45,4.18320578437912,24.9409771775094,26.5755595115376
"C1030C","PIPJ",7.1,50,"O","N",NA,NA,52,46,4,8,NA,"S",100,70,"N",NA,"horizontal",NA,FALSE,1,"C1030C",20.2,156,7.06372574556756,1.0051352863544,7.13646053311624,7.1,24.9409771775094,26.5755595115376
"C1030C","PIPJ",9.1,168,"O","N",NA,NA,40,35,4,6,NA,"S",90,39,"N",NA,"slope",NA,FALSE,1,"C1030C",20.2,156,8.56130649852462,1.06292188015558,9.1,8.56130649852462,24.9409771775094,26.5755595115376
"C1030C","PIPJ",6,305,"M","N",NA,NA,41,33,4,5,NA,"S",95,60,"N",NA,"horizontal",NA,FALSE,1,"C1030C",20.2,156,5.71983878848602,1.0489806132435,6.29388367946098,6,24.9409771775094,26.5755595115376
"C1030C","PIPJ",4.7,252,"O","N",NA,NA,45,39,4,6,NA,"S",40,40,"N",NA,"horizontal",NA,FALSE,1,"C1030C",20.2,156,4.69693756321859,1.00065200713022,4.70306443351203,4.7,24.9409771775094,26.5755595115376
"C1030C","PIPJ",4.7,252,"M","N",NA,NA,29,25,2,6,NA,"S",40,40,"N",NA,"horizontal",NA,FALSE,1,"C1030C",20.2,156,4.69693756321859,1.00065200713022,4.70306443351203,4.7,24.9409771775094,26.5755595115376
"C1030T","PIPJ",11.13,94,"O","U",NA,NA,68,60,4,7,NA,"S",10,24,"N",NA,"slope",NA,FALSE,1,"C1030T",18.1,121,10.6872825321802,1.04142469954236,11.13,10.6872825321802,24.9409771775094,26.239415453753
"C1030T","PIPJ",2.31,27,"O","U",NA,NA,96,89,7,7,NA,"S",50,75,"N",NA,"slope",NA,FALSE,1,"C1030T",18.1,121,2.30945747640104,1.00023491387242,2.31,2.30945747640104,24.9409771775094,26.239415453753
"C1030T","PIPJ",0.8,342,"O","U",NA,NA,64,57,7,7,NA,"S",40,58,"N",NA,"slope",NA,FALSE,1,"C1030T",18.1,121,0.777013700999428,1.02958287475627,0.8,0.777013700999428,24.9409771775094,26.239415453753
"C1030T","PIPJ",7.1,10,"O","U",NA,NA,78,71,5,7,NA,"S",25,80,"N",NA,"slope",NA,FALSE,1,"C1030T",18.1,121,7.05175259996899,1.00684190197359,7.1,7.05175259996899,24.9409771775094,26.239415453753
"C1030T","ABMA",6.2,316,"O","U",NA,NA,42,39,2,6,NA,"S",10,10,"N",NA,"horizontal",NA,FALSE,1,"C1030T",18.1,121,5.91159220974549,1.04878682088035,6.50247828945815,6.2,24.9409771775094,26.239415453753
"C1030T","PIJE",8,348,"O","Y",NA,NA,83,77,6,7,NA,"S",100,50,"N",NA,"horizontal",NA,FALSE,1,"C1030T",18.1,121,7.8114759681828,1.02413423949393,8.19307391595143,8,24.9409771775094,26.239415453753
"C1030T","PIPJ",6.34,61,"O","U",NA,NA,100,90,5,6,NA,"S",10,90,"N",NA,"slope",NA,FALSE,1,"C1030T",18.1,121,6.25831139868942,1.01305281826144,6.34,6.25831139868942,24.9409771775094,26.239415453753
"C1030T","PIJE",8.2,350,"U","Y",NA,NA,72,69,3,8,NA,"S",100,90,"N",NA,"horizontal",NA,FALSE,1,"C1030T",18.1,121,8.02086014170762,1.02233424534619,8.38314081183876,8.2,24.9409771775094,26.239415453753
"C1030T","PIPJ",11.07,29,"U","U",NA,NA,78,68,4,7,NA,"S",100,115,"N",NA,"slope",NA,FALSE,1,"C1030T",18.1,121,11.0693492932253,1.00005878455521,11.07,11.0693492932253,24.9409771775094,26.239415453753
"C1031T","PIPJ",8.9,86,"O","N",NA,NA,29,22,3,4,NA,"S",50,45,"N",NA,"horizontal",NA,FALSE,1,"C1031T",21.8,122,8.46769033380915,1.05105402407841,9.35438081429789,8.9,24.9409771775094,26.86199019461
"C1031T","PIJE",6.2,66,"M","U",NA,NA,43,40,3,7,NA,"S",60,100,"N",NA,"horizontal",NA,FALSE,1,"C1031T",21.8,122,6.05048804103659,1.02471072712637,6.35320650818349,6.2,24.9409771775094,26.86199019461
"C1031T","PIJE",6.2,66,"M","U",NA,NA,30,28,3,6,NA,"S",60,100,"N",NA,"horizontal",NA,FALSE,1,"C1031T",21.8,122,6.05048804103659,1.02471072712637,6.35320650818349,6.2,24.9409771775094,26.86199019461
"C1031T","PIPJ",2.8,29,"M","U",NA,NA,92,83,7,7,NA,"S",100,95,"N",NA,"horizontal",NA,FALSE,1,"C1031T",21.8,122,2.79947109465508,1.00018893045402,2.80052900527125,2.8,24.9409771775094,26.86199019461
"C1031T","PIPJ",4.9,220,"O","U",NA,NA,49,42,6.5,6,NA,"S",80,72,"N",NA,"horizontal",NA,FALSE,1,"C1031T",21.8,122,4.89172426757627,1.00169178227779,4.90828973316119,4.9,24.9409771775094,26.86199019461
"C1031T","PIPJ",9.97,179,"O","U",NA,NA,110,100,8,8,NA,"S",20,80,"N",NA,"slope",NA,FALSE,1,"C1031T",21.8,122,9.74119338642873,1.02348856084615,9.97,9.74119338642873,24.9409771775094,26.86199019461
"C1026C","ABCO",5.4,69,"O","N","N",NA,89,84,7,12,NA,"S",100,105,"N",NA,"horizontal",NA,FALSE,1,"C1026C",18.1,332,5.39612809186599,1.00071753451143,5.40387468636173,5.4,24.9409771775094,26.239415453753
"C1026C","ABCO",5,69,"M","N","N",NA,74,69,5,9,NA,"S",100,105,"N",NA,"horizontal",NA,FALSE,1,"C1026C",18.1,332,4.99641489987591,1.00071753451143,5.00358767255715,5,24.9409771775094,26.239415453753
"C1026C","PILA",11,46,"O","U","N",NA,44,39,3,6,NA,"S",50,77,"N",NA,"horizontal",NA,FALSE,1,"C1026C",18.1,332,10.9545275278179,1.00415102085112,11.0456612293623,11,24.9409771775094,26.239415453753
"C1026C","PILA",11,46,"O","U","N",NA,37,33,3,7,NA,"S",50,77,"N",NA,"horizontal",NA,FALSE,1,"C1026C",18.1,332,10.9545275278179,1.00415102085112,11.0456612293623,11,24.9409771775094,26.239415453753
"C1026C","PILA",9.98,290,"N","N","N",NA,84,76,11,5,NA,"S",80,86,"N",NA,"slope",NA,FALSE,1,"C1026C",18.1,332,9.70178994185262,1.02867615767965,9.98,9.70178994185262,24.9409771775094,26.239415453753
"C1026C","ABCO",8.4,189,"O","N","N",NA,113,107,35,9,NA,"S",70,40,"N",NA,"horizontal",NA,FALSE,1,"C1026C",18.1,332,8.13034495133205,1.03316649542942,8.67859856160712,8.4,24.9409771775094,26.239415453753
"C1026C","ABCO",10,35,"O","U","N",NA,56,50,7,7,NA,"S",80,56,"N",NA,"horizontal",NA,FALSE,1,"C1026C",18.1,332,9.89306162884018,1.01080943141485,10.1080943141485,10,24.9409771775094,26.239415453753
"C1026C","ABCO",6.3,238,"O","N","N",NA,123,113,23,6,NA,"S",90,55,"N",NA,"horizontal",NA,FALSE,1,"C1026C",18.1,332,6.29852039018464,1.00023491387242,6.30147995739623,6.3,24.9409771775094,26.239415453753
