"PlotID","Transect","Diameter","Sound_Rotten"
"C1030C","N","33","S"
"C1030C","S","10","R"
"C1030C","S","27","R"
"C1030C","S","33","S"
"C1030T","NONE",NA,NA
"C1031T","N","15","R"
"C1031T","N","9","R"
"C1031T","N","9","R"
"C1026C","S","23","S"
"C1026C","S","13","S"
"C1026C","S","11","S"
"C1026C","N","75","R"
"C1026C","S","14","S"
"C1026C","S","15","S"
"C1026C","N","12","S"
"C1026T","S","12","S"
"C1026T","S","10","S"
"C1026T","S","25","S"
"C1026T","S","25","S"
"C1026T","S","15","S"
"C1026T","S","10","S"
"C1026T","S","10","S"
"C1026T","N","13","S"
"C1026T","N","21","S"
"C1026T","N","17","S"
"C1026T","N","15","S"
"C1026T","N","25","S"
"C1026T","N","9","S"
"C1026T","N","26","S"
"C1023C","S","23","S"
"C1023C","S","25","R"
"C1023C","S","32","S"
"C1023C","S","37","S"
"C1023T","S","9","S"
"C1023T","S","14","S"
"C1023T","S","11","S"
"C1023T","S","41","R"
"C1023T","S","91","R"
"C1023T","N","13","S"
"C1023T","N","32","S"
"C1023T","N","10","R"
"C1023T","N","11","R"
"C1020C","N","14","S"
"C1020C","S","10","S"
"C1020C","N","12","S"
"C1020C","N","16","S"
"C1020C","N","13","S"
"C1020C","N","10","S"
"C1020C","N","20","S"
"C1020C","S","12","S"
"C1020C","S","24","R"
"C1020C","N","17","S"
"C1020C","N","15","S"
"C1020C","N","11","S"
"C1020C","S","15","R"
"C1020C","S","10","S"
"C1020C","N","11","S"
"C1020C","N","10","S"
"C1020C","S","9","S"
"C1020C","N","19","S"
"C1020C","N","22","S"
"C1020C","S","8","S"
"C1020C","S","18","R"
"C1020C","S","10","S"
"C1020C","S","10","S"
"C1020C","S","13","S"
"C1020C","S","20","S"
"C1020C","S","10","S"
"C1020C","S","10","S"
"C1020C","S","8","S"
"C1020C","S","20","S"
"C1020C","S","14","S"
"C1020T","S","20","S"
"C1020T","S","10","S"
"C1020T","S","11","S"
"C1020T","S","21","S"
"C1020T","S","30","R"
"C1020T","S","22","S"
"C1020T","S","14","S"
"C1020T","S","21","S"
"C1020T","N","20","R"
"C1020T","N","14","S"
"C1020T","N","17","S"
"C1020T","N","18","S"
"C1020T","N","19","S"
"C1020T","N","22","S"
"C1032T","N","9","S"
"C1032T","S","19","R"
"C1032T","S","29","R"
"C1032T","N","30","S"
"C1032T","N","13","S"
"C1032T","N","10","S"
"C1032T","S","33","R"
"C1032C","N","19","S"
"C1032C","N","27","S"
"C1032C","N","14","S"
"C1032C","S","18","S"
"C1032C","S","15","R"
"C1029T","N","14","S"
"C1029T","N","17","R"
"C1029C","N","27","R"
"C1029C","S","21","R"
"C1029C","S","33","R"
"C1029C","N","38","S"
"C1031C","N","24","S"
"C1031C","N","20","S"
"C1031C","N","27","R"
"C1040T","N","15","S"
"C1040T","N","8","S"
"C1040T","S","37","R"
"C1040T","N","10","S"
"C1040T","N","9","S"
"C1040T","N","11","R"
"C1040T","N","27","R"
"C1040T","N","15","R"
"C1040T","S","9","S"
"C1040T","S","25","S"
"C1040T","S","11","S"
"A4013C","S","10","S"
"A4013C","S","12","S"
"A4013C","N","9","S"
"A4013T","N","11","S"
"A4013T","S","30","S"
"A4060C","NONE",NA,NA
"A4060T","S","20","S"
"A4060T","N","10","S"
"A4060T","N","39","S"
"A4060T","N","11","S"
"A4014C","S","14","S"
"A4014C","S","9","S"
"A4014C","N","24","R"
"A4014T","S","25","R"
"A4014T","N","30","S"
"A4014T","N","10","R"
"A4014T","N","23","R"
"A4022C","N","14","S"
"A4022C","S","10","S"
"A4022C","N","8","S"
"A4022C","N","15","R"
"B1003T","N","11","S"
"B1003T","N","17","R"
"B1018C","E","10","S"
"B1018C","S","13","S"
"B1018C","S","13","S"
"B1018C","S","27","S"
"B1018C","N","8","S"
"B1018C","W","15","R"
"B1018C","W","18","S"
"B1018T","NONE",NA,NA
"B1016C","S","28","R"
"B1016C","S","18","R"
"B1016C","S","8","S"
"D1000C","NONE",NA,NA
"D1001T","N","12","S"
"D1001T","S","12","S"
"D1001T","S","25","R"
"D1001T","N","79","S"
"D1001C","S","35","S"
"D1001C","N","57","S"
"D1001C","N","9","S"
"D1001C","N","10","S"
"D1001C","N","12","S"
"D1013C","S","17","S"
"D1013C","S","22","S"
"D1013C","S","42","S"
"D1018T","N","10","S"
"D1018T","N","18","S"
"D1018T","S","28","S"
"D1018T","S","9","S"
"D1018T","N","13","S"
"D1018T","S","9.5","S"
"D1018C","N","8.5","S"
"D1018C","N","22","S"
"D1018C","N","14","S"
"D1018C","N","13","S"
"D1018C","N","14","S"
"D1018C","N","12","S"
"D1018C","N","9","S"
"D1018C","N","12","S"
"D1018C","S","11","S"
"D1018C","N","10","S"
"D1013T","N","25","S"
"D1013T","N","16","R"
"D1013T","N","23","S"
"D1013T","N","13","R"
"D1013T","N","33","R"
"D1005T","N","76","S"
"D1005T","N","23","S"
"D1005T","N","22","S"
"D1005C","NONE",NA,NA
"B1019C","S","73","R"
"B1019C","S","30","S"
"B1019C","S","55","S"
"B1019C","S","12","S"
"B1019C","S","13","S"
"B1019C","N","11","S"
"B1019C","N","13","S"
"B1019C","N","10","S"
"B1019C","N","15","R"
"B1019T","S","9","S"
"B1019T","S","14","S"
"B1019T","S","10","S"
"B1019T","S","77","R"
"B1019T","S","10","S"
"B1019T","N","17","S"
"B1019T","N","9","S"
"B1019T","N","13","S"
"B1014T","S","19","S"
"B1014T","N","22","S"
"B1009T","S","23","R"
"B1009T","S","10","R"
"B1009T","S","12","S"
"B1009T","N","12","S"
"B1009T","N","9","R"
"B1009T","N","11","S"
"B1009T","N","32","S"
"D1010C","NONE",NA,NA
"A4017C","S","8","R"
"A4017T","S","21","S"
"A4017T","N","17","S"
"A4017T","N","37","S"
"A4017T","S","32","S"
"A4025T","S","12","S"
"A4025T","S","10","S"
"A4025T","S","19","S"
"A4025T","N","18","S"
"A4025T","S","14","S"
"A4025T","N","18","S"
"A4025T","N","8","S"
"A4025C","N","32","R"
"A4025C","N","18","S"
"A4025C","S","41","S"
"A4057C","N","21","S"
"A4057C","N","25","S"
"A4057C","N","17","S"
"A4057T","S","15","S"
"A4057T","S","8","S"
"A4057T","S","13","S"
"A4057T","S","9","S"
"A4057T","N","11","S"
"A4057T","N","16","S"
"C2001C","S","15","R"
"C2001C","N","12","S"
