"PlotID","Species","HeightClass","OMU","Count"
"C1030C","PIPJ","B","O","1"
"C1030T","NONE",NA,NA,NA
"C1031T","NONE",NA,NA,NA
"C1026C","ABCO","A","M","1"
"C1026C","PILA","B","O","1"
"C1026T","PILA","B","O","1"
"C1023C","NONE",NA,NA,NA
"C1023T","NONE",NA,NA,NA
"C1020C","NONE",NA,NA,NA
"C1020T","NONE",NA,NA,NA
"C1032T","NONE",NA,NA,NA
"C1032C","NONE",NA,NA,NA
"C1029T","NONE",NA,NA,NA
"C1029C","NONE",NA,NA,NA
"C1031C","NONE",NA,NA,NA
"C1040T","ABCO","B",NA,"4"
"A4013C","NONE",NA,NA,NA
"A4013T","NONE",NA,NA,NA
"A4060C","NONE",NA,NA,NA
"A4060T","NONE",NA,NA,NA
"A4014C","NONE",NA,NA,NA
"A4014T","NONE",NA,NA,NA
"A4022C","ABCO","B","M","1"
"A4022C","ABCO","A","U","1"
"A4022C","PSME","A","U","2"
"B1003T","PIPJ","B","U","1"
"B1003T","QUCH","B","U","1"
"B1018C","NONE",NA,NA,NA
"B1018T","NONE",NA,NA,NA
"B1016C","QUCH","B","M","1"
"B1016C","CADE","A","M","2"
"B1016C","CADE","B","M","1"
"D1000C","NONE",NA,NA,NA
"D1001T","NONE",NA,NA,NA
"D1001C","NONE",NA,NA,NA
"D1013C","NONE",NA,NA,NA
"D1018T","NONE",NA,NA,NA
"D1018C","NONE",NA,NA,NA
"D1013T","NONE",NA,NA,NA
"D1005T","NONE",NA,NA,NA
"D1005C","NONE",NA,NA,NA
"B1019C","QUCH","B","U","1"
"B1019T","NONE",NA,NA,NA
"B1014T","NONE",NA,NA,NA
"B1009T","NONE",NA,NA,NA
"D1010C","NONE",NA,NA,NA
"A4017C","ABCO","A","U","1"
"A4017T","NONE",NA,NA,NA
"A4025T","ABCO","B","U","2"
"A4025C","NONE",NA,NA,NA
"A4057C","NONE",NA,NA,NA
"A4057T","NONE",NA,NA,NA
"C2001C","PSME","B","M","9"
"C2001C","PSME","B","U","10"
"C2001C","PIPJ","B","O","6"
"C2001C","PIPJ","B","U","2"
"C2001C","PSME","A","U","1"
"C2001C","CADE","A","U","1"
