"PlotID","Species","Greater_Less","Height"
"C1030C","NONE",NA,NA
"C1030T","NONE",NA,NA
"C1031T","NONE",NA,NA
"C1026C","NONE",NA,NA
"C1026T","NONE",NA,NA
"C1023C","NONE",NA,NA
"C1023T","NONE",NA,NA
"C1020C","NONE",NA,NA
"C1020T","NONE",NA,NA
"C1032T","NONE",NA,NA
"C1032C","NONE",NA,NA
"C1029T","NONE",NA,NA
"C1029C","NONE",NA,NA
"C1031C","NONE",NA,NA
"C1040T","NONE",NA,NA
"A4013C","NONE",NA,NA
"A4013T","NONE",NA,NA
"A4060C","NONE",NA,NA
"A4060T","NONE",NA,NA
"A4014C","NONE",NA,NA
"A4014T","NONE",NA,NA
"A4022C","NONE",NA,NA
"B1003T","NONE",NA,NA
"B1018C","QUCH","ALL RESPROUTING",NA
"B1018T","NONE",NA,NA
"B1016C","NONE",NA,NA
"D1000C","NONE",NA,NA
"D1001T","NONE",NA,NA
"D1001C","NONE",NA,NA
"D1013C","NONE",NA,NA
"D1018T","NONE",NA,NA
"D1018C","NONE",NA,NA
"D1013T","NONE",NA,NA
"D1005T","NONE",NA,NA
"D1005C","NONE",NA,NA
"B1019C","QUCH","ALL RESPROUTING",NA
"B1019T","QUCH","ALL RESPROUTING",NA
"B1014T","NONE",NA,NA
"B1009T","QUCH","ALL RESPROUTING",NA
"D1010C","NONE",NA,NA
"A4017C","NONE",NA,NA
"A4017T","NONE",NA,NA
"A4025T","NONE",NA,NA
"A4025C","NONE",NA,NA
"A4057C","NONE",NA,NA
"A4057T","NONE",NA,NA
"C2001C","PSME",">","25"
"C2001C","PIPJ",">","25"
"C2001T","PIPJ",">","25"
"C2006C","NONE",NA,NA
"C2006C","NONE",NA,NA
"A4022T","NONE",NA,NA
"A4168C","NONE",NA,NA
"A4168T","NONE",NA,NA
"A4172C","NONE",NA,NA
"A4172T","NONE",NA,NA
"A4176C","NONE",NA,NA
"A4176T","NONE",NA,NA
"A4177T","NONE",NA,NA
"B1015C","NONE",NA,NA
"B1015T","NONE",NA,NA
"D1017C","NONE",NA,NA
"D1017T","NONE",NA,NA
"D1025C","NONE",NA,NA
"D1025T","NONE",NA,NA
"D1097C","NONE",NA,NA
"D1006C","QUKE","ALL RESPROUTING",NA
"D1006T","NONE",NA,NA
"D1008T","NONE",NA,NA
"D1009T","NONE",NA,NA
"B1014C","NONE",NA,NA
"B1009C","QUCH","ALL RESPROUTING",NA
"D1010T","NONE",NA,NA
"E0039I","NONE",NA,NA
"E0046I","NONE",NA,NA
"E0051I","NONE",NA,NA
"E0049I","NONE",NA,NA
"E0052I","NONE",NA,NA
"E0043I","NONE",NA,NA
"E0087C","NONE",NA,NA
"E0090T","NONE",NA,NA
"E0090C","PIPJ",">","24"
"E0087T","NONE",NA,NA
"E0078T","NONE",NA,NA
"E0078C","NONE",NA,NA
"E0072T","NONE",NA,NA
"E0072C","NONE",NA,NA
"E2001I","NONE",NA,NA
"E0063I","NONE",NA,NA
"E0062I","PIPJ",">","25"
"E0060I","PIPJ",">","25"
"E0065I","PIPJ",">","25"
"E0066I","PIPJ",">","25"
"E0061I","NONE",NA,NA
"E0055I","NONE",NA,NA
"E0050I","PIPJ",">","25"
"E0053I","NONE",NA,NA
"E0064I","PIPJ",">","25"
"E0068T","NONE",NA,NA
"E0069T","NONE",NA,NA
"E0069C","NONE",NA,NA
"E0068C","NONE",NA,NA
"E0045I","NONE",NA,NA
"A1140C","NONE",NA,NA
"A2025T","NONE",NA,NA
"A2025C","NONE",NA,NA
"A2026T","NONE",NA,NA
