"fire.name","salvaged","planted","area.ha","area_prop","pltd.yr0_prop","pltd.yr1_prop","pltd.yr2_prop","pltd.yr3_prop","pltd.yr4_prop","pltd.later_prop","site.prepped_prop","released.0x_prop","released.1x_prop","released.2x_prop","released.morex_prop","replanted.0x_prop","replanted.1x_prop","replanted.morex_prop","thinned.0x_prop","thinned.1x_prop","thinned.morex_prop","pruned.0x_prop","pruned.morex_prop"
"ANTELOPE CMPLX",FALSE,TRUE,2555.58466,0.64,0,0.08,0.55,0,0,0,0.02,0.59,0.05,0,0,0.61,0.03,0,0.59,0.04,0,0.64,0
"ANTELOPE CMPLX",TRUE,FALSE,399.669681999997,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0.1,0
"ANTELOPE CMPLX",TRUE,TRUE,1059.003675,0.26,0,0.02,0.06,0.19,0,0,0,0.26,0,0,0,0.26,0,0,0.24,0.02,0,0.26,0
"BASSETTS",FALSE,TRUE,142.7564045,0.62,0,0.47,0.15,0,0,0,0,0.02,0.44,0.14,0.01,0.53,0.09,0,0.47,0.14,0.01,0.62,0
"BASSETTS",TRUE,FALSE,3.79529199999977,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0.02,0,0,0.02,0
"BASSETTS",TRUE,TRUE,83.6956519999999,0.36,0,0,0.36,0,0,0,0.01,0.24,0.12,0,0,0.36,0,0,0.31,0.05,0,0.36,0
"BIG CREEK",FALSE,TRUE,685.856003,0.89,0,0.2,0.39,0.14,0.14,0.03,0.09,0,0.07,0.23,0.59,0.63,0.25,0,0.21,0.39,0.28,0.49,0.4
"BIG CREEK",TRUE,FALSE,41.0630359999994,0.05,0,0,0,0,0,0,0.03,0.04,0,0.01,0.01,0.04,0.01,0,0.04,0.01,0,0.05,0
"BIG CREEK",TRUE,TRUE,46.8320119999998,0.06,0,0,0.02,0.02,0.01,0.01,0.05,0,0,0.03,0.02,0.04,0.02,0,0.01,0.01,0.04,0.04,0.02
"BOULDER CMPLX",TRUE,FALSE,2.1848315000001,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0.02,0,0,0.02,0
"BOULDER CMPLX",TRUE,TRUE,107.227896499999,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0.98,0
"CHIPS",FALSE,TRUE,460.346695,0.14,0,0.02,0.08,0.02,0.02,0,0.11,0.03,0.05,0.05,0.01,0.14,0,0,0.13,0,0.01,0.14,0
"CHIPS",TRUE,FALSE,1978.169041,0.6,0,0,0,0,0,0,0.25,0.6,0,0,0,0.6,0,0,0.56,0.01,0.04,0.6,0
"CHIPS",TRUE,TRUE,831.920725500002,0.25,0,0,0.03,0.18,0.04,0.01,0.25,0.09,0.12,0.04,0,0.25,0,0,0.24,0.01,0.01,0.25,0
"CLEVELAND",FALSE,TRUE,176.462028,0.06,0,0.02,0,0.03,0.01,0,0,0,0,0.04,0.02,0.02,0.02,0.01,0.04,0.01,0,0.05,0
"CLEVELAND",TRUE,FALSE,56.4010324999999,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0.01,0,0,0.02,0
"CLEVELAND",TRUE,TRUE,2948.9267115,0.93,0,0.3,0.27,0.27,0.07,0.01,0.14,0.04,0.07,0.22,0.59,0.42,0.11,0.19,0.31,0.4,0.22,0.86,0.06
"COLD",FALSE,TRUE,128.676811500001,0.35,0,0.35,0,0,0,0,0,0.35,0,0,0,0.35,0,0,0.35,0,0,0.35,0
"COLD",TRUE,FALSE,39.3107114999996,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0.11,0,0,0.1,0,0,0.11,0
"COLD",TRUE,TRUE,201.725423,0.55,0,0.55,0,0,0,0,0,0.55,0,0,0,0.55,0,0,0.55,0,0,0.55,0
"CONE",FALSE,TRUE,13.197936,0.03,0,0,0.03,0,0,0,0,0.03,0,0,0,0.03,0,0,0.03,0,0,0.03,0
