"fire.dist2","salv.cat2","site.prepped2","released2","thinned2","nplots","mgmt.factorial"
"1987CLARK - Plumas NF","salv: planted","prp: no","rel: no","thn: no",591,"1987CLARK - Plumas NF, salv: planted, prp: no, rel: no, thn: no"
"1987CLARK - Plumas NF","salv: planted","prp: no","rel: YES","thn: no",145,"1987CLARK - Plumas NF, salv: planted, prp: no, rel: YES, thn: no"
"1987CLARK - Plumas NF","salv: neither","prp: no","rel: no","thn: no",90,"1987CLARK - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
"1987CLARK - Plumas NF","salv: neither","prp: no","rel: YES","thn: no",22,"1987CLARK - Plumas NF, salv: neither, prp: no, rel: YES, thn: no"
"1987HAMM_CMPLX - Stanislaus NF","salv: neither","prp: no","rel: YES","thn: no",116,"1987HAMM_CMPLX - Stanislaus NF, salv: neither, prp: no, rel: YES, thn: no"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: YES","thn: YES",339,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: YES, thn: YES"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: YES","thn: no",53,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: YES, thn: no"
"1987LOST - Lassen NF","salv: planted","prp: no","rel: YES","thn: no",225,"1987LOST - Lassen NF, salv: planted, prp: no, rel: YES, thn: no"
"1987LOST - Lassen NF","salv: planted","prp: YES","rel: YES","thn: no",137,"1987LOST - Lassen NF, salv: planted, prp: YES, rel: YES, thn: no"
"1987LOST - Lassen NF","salv: planted","prp: no","rel: no","thn: no",34,"1987LOST - Lassen NF, salv: planted, prp: no, rel: no, thn: no"
"1989RACK - Plumas NF","salv: planted","prp: no","rel: no","thn: no",63,"1989RACK - Plumas NF, salv: planted, prp: no, rel: no, thn: no"
"1989RACK - Plumas NF","salv: neither","prp: no","rel: no","thn: no",24,"1989RACK - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
"1990STORMY - Sequoia NF","salv: planted","prp: no","rel: YES","thn: no",119,"1990STORMY - Sequoia NF, salv: planted, prp: no, rel: YES, thn: no"
"1990STORMY - Sequoia NF","salv: neither","prp: no","rel: YES","thn: no",100,"1990STORMY - Sequoia NF, salv: neither, prp: no, rel: YES, thn: no"
"1990STORMY - Sequoia NF","salv: neither","prp: no","rel: no","thn: no",46,"1990STORMY - Sequoia NF, salv: neither, prp: no, rel: no, thn: no"
"1992CLEVELAND - Eldorado NF","salv: planted","prp: no","rel: YES","thn: YES",25,"1992CLEVELAND - Eldorado NF, salv: planted, prp: no, rel: YES, thn: YES"
"1992RUBY - Stanislaus NF","salv: both","prp: no","rel: YES","thn: YES",60,"1992RUBY - Stanislaus NF, salv: both, prp: no, rel: YES, thn: YES"
"1992RUBY - Stanislaus NF","salv: both","prp: no","rel: no","thn: no",55,"1992RUBY - Stanislaus NF, salv: both, prp: no, rel: no, thn: no"
"1992RUBY - Stanislaus NF","salv: both","prp: no","rel: no","thn: YES",42,"1992RUBY - Stanislaus NF, salv: both, prp: no, rel: no, thn: YES"
"1992RUBY - Stanislaus NF","salv: both","prp: no","rel: YES","thn: no",30,"1992RUBY - Stanislaus NF, salv: both, prp: no, rel: YES, thn: no"
"1994BIG_CREEK - Sierra NF","salv: neither","prp: no","rel: YES","thn: YES",41,"1994BIG_CREEK - Sierra NF, salv: neither, prp: no, rel: YES, thn: YES"
"1994COTTONWOOD - Tahoe NF","salv: both","prp: no","rel: YES","thn: no",107,"1994COTTONWOOD - Tahoe NF, salv: both, prp: no, rel: YES, thn: no"
"1994COTTONWOOD - Tahoe NF","salv: both","prp: no","rel: no","thn: no",66,"1994COTTONWOOD - Tahoe NF, salv: both, prp: no, rel: no, thn: no"
"1994COTTONWOOD - Tahoe NF","salv: planted","prp: no","rel: YES","thn: no",66,"1994COTTONWOOD - Tahoe NF, salv: planted, prp: no, rel: YES, thn: no"
"1994COTTONWOOD - Tahoe NF","salv: planted","prp: no","rel: no","thn: no",59,"1994COTTONWOOD - Tahoe NF, salv: planted, prp: no, rel: no, thn: no"
"1994COTTONWOOD - Tahoe NF","salv: both","prp: no","rel: YES","thn: YES",53,"1994COTTONWOOD - Tahoe NF, salv: both, prp: no, rel: YES, thn: YES"
"1994COTTONWOOD - Tahoe NF","salv: neither","prp: no","rel: YES","thn: no",32,"1994COTTONWOOD - Tahoe NF, salv: neither, prp: no, rel: YES, thn: no"
"1994COTTONWOOD - Tahoe NF","salv: NA","prp: no","rel: YES","thn: no",24,"1994COTTONWOOD - Tahoe NF, salv: NA, prp: no, rel: YES, thn: no"
"1994COTTONWOOD - Tahoe NF","salv: planted","prp: no","rel: YES","thn: YES",20,"1994COTTONWOOD - Tahoe NF, salv: planted, prp: no, rel: YES, thn: YES"
"1999PENDOLA - Tahoe NF","salv: planted","prp: no","rel: YES","thn: YES",31,"1999PENDOLA - Tahoe NF, salv: planted, prp: no, rel: YES, thn: YES"
"2001STAR - Eldorado NF","salv: planted","prp: no","rel: YES","thn: no",52,"2001STAR - Eldorado NF, salv: planted, prp: no, rel: YES, thn: no"
"2001STAR - Eldorado NF","salv: planted","prp: no","rel: YES","thn: YES",31,"2001STAR - Eldorado NF, salv: planted, prp: no, rel: YES, thn: YES"
