"fire.dist2","salv.cat2","site.prepped2","released2","thinned2","nplots","mgmt.factorial"
"1987CLARK - Plumas NF","salv: planted","prp: no","rel: no","thn: no",414,"1987CLARK - Plumas NF, salv: planted, prp: no, rel: no, thn: no"
"1987CLARK - Plumas NF","salv: neither","prp: no","rel: no","thn: no",58,"1987CLARK - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
"1987CLARK - Plumas NF","salv: planted","prp: no","rel: YES","thn: no",29,"1987CLARK - Plumas NF, salv: planted, prp: no, rel: YES, thn: no"
"1987CLARK - Plumas NF","salv: neither","prp: no","rel: YES","thn: no",21,"1987CLARK - Plumas NF, salv: neither, prp: no, rel: YES, thn: no"
"1987HAMM_CMPLX - Stanislaus NF","salv: neither","prp: no","rel: YES","thn: no",118,"1987HAMM_CMPLX - Stanislaus NF, salv: neither, prp: no, rel: YES, thn: no"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: YES","thn: YES",257,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: YES, thn: YES"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: YES","thn: no",45,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: YES, thn: no"
"1987LOST - Lassen NF","salv: planted","prp: no","rel: YES","thn: no",157,"1987LOST - Lassen NF, salv: planted, prp: no, rel: YES, thn: no"
"1987LOST - Lassen NF","salv: planted","prp: YES","rel: YES","thn: no",87,"1987LOST - Lassen NF, salv: planted, prp: YES, rel: YES, thn: no"
"1987LOST - Lassen NF","salv: planted","prp: no","rel: no","thn: no",23,"1987LOST - Lassen NF, salv: planted, prp: no, rel: no, thn: no"
"1989RACK - Plumas NF","salv: planted","prp: no","rel: no","thn: no",47,"1989RACK - Plumas NF, salv: planted, prp: no, rel: no, thn: no"
"1989RACK - Plumas NF","salv: neither","prp: no","rel: no","thn: no",25,"1989RACK - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
"1990STORMY - Sequoia NF","salv: neither","prp: no","rel: YES","thn: no",63,"1990STORMY - Sequoia NF, salv: neither, prp: no, rel: YES, thn: no"
"1990STORMY - Sequoia NF","salv: planted","prp: no","rel: YES","thn: no",52,"1990STORMY - Sequoia NF, salv: planted, prp: no, rel: YES, thn: no"
"1990STORMY - Sequoia NF","salv: neither","prp: no","rel: no","thn: no",37,"1990STORMY - Sequoia NF, salv: neither, prp: no, rel: no, thn: no"
"1992RUBY - Stanislaus NF","salv: both","prp: no","rel: no","thn: YES",25,"1992RUBY - Stanislaus NF, salv: both, prp: no, rel: no, thn: YES"
"1992RUBY - Stanislaus NF","salv: both","prp: no","rel: no","thn: no",22,"1992RUBY - Stanislaus NF, salv: both, prp: no, rel: no, thn: no"
"1994BIG_CREEK - Sierra NF","salv: neither","prp: no","rel: YES","thn: YES",47,"1994BIG_CREEK - Sierra NF, salv: neither, prp: no, rel: YES, thn: YES"
"1994COTTONWOOD - Tahoe NF","salv: planted","prp: no","rel: YES","thn: no",30,"1994COTTONWOOD - Tahoe NF, salv: planted, prp: no, rel: YES, thn: no"
"2001STAR - Tahoe NF","salv: neither","prp: no","rel: YES","thn: no",24,"2001STAR - Tahoe NF, salv: neither, prp: no, rel: YES, thn: no"
"2001STREAM - Plumas NF","salv: both","prp: no","rel: no","thn: no",33,"2001STREAM - Plumas NF, salv: both, prp: no, rel: no, thn: no"
"2004POWER - Eldorado NF","salv: planted","prp: no","rel: YES","thn: no",60,"2004POWER - Eldorado NF, salv: planted, prp: no, rel: YES, thn: no"
"2004POWER - Eldorado NF","salv: neither","prp: no","rel: YES","thn: no",53,"2004POWER - Eldorado NF, salv: neither, prp: no, rel: YES, thn: no"
"2004STRAYLOR - Lassen NF","salv: both","prp: no","rel: YES","thn: YES",98,"2004STRAYLOR - Lassen NF, salv: both, prp: no, rel: YES, thn: YES"
"2004STRAYLOR - Lassen NF","salv: planted","prp: no","rel: YES","thn: YES",71,"2004STRAYLOR - Lassen NF, salv: planted, prp: no, rel: YES, thn: YES"
"2006BASSETTS - Tahoe NF","salv: neither","prp: no","rel: YES","thn: YES",28,"2006BASSETTS - Tahoe NF, salv: neither, prp: no, rel: YES, thn: YES"
"2007MOONTELOPE - Plumas NF","salv: neither","prp: no","rel: no","thn: no",427,"2007MOONTELOPE - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
"2007MOONTELOPE - Plumas NF","salv: planted","prp: no","rel: no","thn: no",215,"2007MOONTELOPE - Plumas NF, salv: planted, prp: no, rel: no, thn: no"
"2007MOONTELOPE - Plumas NF","salv: both","prp: no","rel: no","thn: no",114,"2007MOONTELOPE - Plumas NF, salv: both, prp: no, rel: no, thn: no"
"2007MOONTELOPE - Plumas NF","salv: planted","prp: no","rel: YES","thn: no",39,"2007MOONTELOPE - Plumas NF, salv: planted, prp: no, rel: YES, thn: no"
"2007MOONTELOPE - Plumas NF","salv: neither","prp: YES","rel: no","thn: no",28,"2007MOONTELOPE - Plumas NF, salv: neither, prp: YES, rel: no, thn: no"
"2007MOONTELOPE - Plumas NF","salv: neither","prp: no","rel: no","thn: YES",22,"2007MOONTELOPE - Plumas NF, salv: neither, prp: no, rel: no, thn: YES"
"2007MOONTELOPE - Plumas NF","salv: neither","prp: no","rel: YES","thn: no",21,"2007MOONTELOPE - Plumas NF, salv: neither, prp: no, rel: YES, thn: no"
"2008COLD - Plumas NF","salv: planted","prp: no","rel: no","thn: no",49,"2008COLD - Plumas NF, salv: planted, prp: no, rel: no, thn: no"
"2008COLD - Plumas NF","salv: neither","prp: no","rel: no","thn: no",31,"2008COLD - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
"2008GOVERNMENT - Tahoe NF","salv: neither","prp: no","rel: YES","thn: no",87,"2008GOVERNMENT - Tahoe NF, salv: neither, prp: no, rel: YES, thn: no"
"2008PIUTE - Sequoia NF","salv: neither","prp: no","rel: YES","thn: no",52,"2008PIUTE - Sequoia NF, salv: neither, prp: no, rel: YES, thn: no"
"2008PIUTE - Sequoia NF","salv: neither","prp: no","rel: no","thn: no",42,"2008PIUTE - Sequoia NF, salv: neither, prp: no, rel: no, thn: no"
"2008PIUTE - Sequoia NF","salv: neither","prp: YES","rel: no","thn: YES",25,"2008PIUTE - Sequoia NF, salv: neither, prp: YES, rel: no, thn: YES"
"2009SUGARLOAF - Lassen NF","salv: neither","prp: no","rel: no","thn: no",66,"2009SUGARLOAF - Lassen NF, salv: neither, prp: no, rel: no, thn: no"
"2012CHIPS - Plumas NF","salv: planted","prp: YES","rel: no","thn: no",73,"2012CHIPS - Plumas NF, salv: planted, prp: YES, rel: no, thn: no"
"2012CHIPS - Plumas NF","salv: planted","prp: YES","rel: YES","thn: no",55,"2012CHIPS - Plumas NF, salv: planted, prp: YES, rel: YES, thn: no"
"2012CHIPS - Plumas NF","salv: both","prp: YES","rel: no","thn: no",29,"2012CHIPS - Plumas NF, salv: both, prp: YES, rel: no, thn: no"
"2012CHIPS - Plumas NF","salv: neither","prp: no","rel: no","thn: no",21,"2012CHIPS - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
"2012READING - Lassen NF","salv: planted","prp: no","rel: no","thn: no",42,"2012READING - Lassen NF, salv: planted, prp: no, rel: no, thn: no"
"2012READING - Lassen NF","salv: planted","prp: YES","rel: no","thn: no",41,"2012READING - Lassen NF, salv: planted, prp: YES, rel: no, thn: no"
