"fire.dist2","salv.cat2","site.prepped2","released2","thinned2","replanted2","nplots","mgmt.factorial"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: eml","thn: YES","replt: YES",44,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: eml, thn: YES, replt: YES"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: em","thn: YES","replt: no",21,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: em, thn: YES, replt: no"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: em","thn: YES","replt: YES",20,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: em, thn: YES, replt: YES"
"1987INDIAN - Tahoe NF","salv: both","prp: no","rel: eml","thn: YES","replt: YES",18,"1987INDIAN - Tahoe NF, salv: both, prp: no, rel: eml, thn: YES, replt: YES"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: e","thn: YES","replt: no",14,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: e, thn: YES, replt: no"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: m","thn: YES","replt: no",14,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: m, thn: YES, replt: no"
"1987INDIAN - Tahoe NF","salv: both","prp: no","rel: em","thn: YES","replt: no",13,"1987INDIAN - Tahoe NF, salv: both, prp: no, rel: em, thn: YES, replt: no"
"1987INDIAN - Tahoe NF","salv: both","prp: no","rel: em","thn: YES","replt: YES",13,"1987INDIAN - Tahoe NF, salv: both, prp: no, rel: em, thn: YES, replt: YES"
"1987INDIAN - Tahoe NF","salv: both","prp: no","rel: m","thn: YES","replt: no",11,"1987INDIAN - Tahoe NF, salv: both, prp: no, rel: m, thn: YES, replt: no"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: eml","thn: YES","replt: no",11,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: eml, thn: YES, replt: no"
"1987INDIAN - Tahoe NF","salv: both","prp: no","rel: e","thn: YES","replt: no",10,"1987INDIAN - Tahoe NF, salv: both, prp: no, rel: e, thn: YES, replt: no"
"1987INDIAN - Tahoe NF","salv: both","prp: no","rel: eml","thn: YES","replt: no",10,"1987INDIAN - Tahoe NF, salv: both, prp: no, rel: eml, thn: YES, replt: no"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: el","thn: YES","replt: YES",6,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: el, thn: YES, replt: YES"
"1987INDIAN - Tahoe NF","salv: planted","prp: no","rel: ml","thn: YES","replt: YES",6,"1987INDIAN - Tahoe NF, salv: planted, prp: no, rel: ml, thn: YES, replt: YES"
"1990STORMY - Sequoia NF","salv: planted","prp: no","rel: l","thn: no","replt: YES",80,"1990STORMY - Sequoia NF, salv: planted, prp: no, rel: l, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: both","prp: no","rel: l","thn: no","replt: YES",70,"1990STORMY - Sequoia NF, salv: both, prp: no, rel: l, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: neither","prp: no","rel: e","thn: no","replt: no",53,"1990STORMY - Sequoia NF, salv: neither, prp: no, rel: e, thn: no, replt: no"
"1990STORMY - Sequoia NF","salv: neither","prp: no","rel: no","thn: no","replt: no",40,"1990STORMY - Sequoia NF, salv: neither, prp: no, rel: no, thn: no, replt: no"
"1990STORMY - Sequoia NF","salv: planted","prp: no","rel: e","thn: no","replt: YES",31,"1990STORMY - Sequoia NF, salv: planted, prp: no, rel: e, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: planted","prp: no","rel: el","thn: no","replt: YES",26,"1990STORMY - Sequoia NF, salv: planted, prp: no, rel: el, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: planted","prp: no","rel: no","thn: no","replt: no",26,"1990STORMY - Sequoia NF, salv: planted, prp: no, rel: no, thn: no, replt: no"
"1990STORMY - Sequoia NF","salv: neither","prp: no","rel: el","thn: no","replt: YES",21,"1990STORMY - Sequoia NF, salv: neither, prp: no, rel: el, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: both","prp: no","rel: el","thn: no","replt: YES",20,"1990STORMY - Sequoia NF, salv: both, prp: no, rel: el, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: planted","prp: no","rel: e","thn: no","replt: no",19,"1990STORMY - Sequoia NF, salv: planted, prp: no, rel: e, thn: no, replt: no"
"1990STORMY - Sequoia NF","salv: neither","prp: no","rel: e","thn: no","replt: YES",18,"1990STORMY - Sequoia NF, salv: neither, prp: no, rel: e, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: both","prp: no","rel: e","thn: no","replt: YES",16,"1990STORMY - Sequoia NF, salv: both, prp: no, rel: e, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: both","prp: no","rel: no","thn: no","replt: no",15,"1990STORMY - Sequoia NF, salv: both, prp: no, rel: no, thn: no, replt: no"
"1990STORMY - Sequoia NF","salv: both","prp: no","rel: e","thn: no","replt: no",13,"1990STORMY - Sequoia NF, salv: both, prp: no, rel: e, thn: no, replt: no"
"1990STORMY - Sequoia NF","salv: bothPost","prp: no","rel: e","thn: no","replt: YES",8,"1990STORMY - Sequoia NF, salv: bothPost, prp: no, rel: e, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: neither","prp: no","rel: m","thn: no","replt: YES",8,"1990STORMY - Sequoia NF, salv: neither, prp: no, rel: m, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: plantedPost","prp: no","rel: e","thn: no","replt: YES",8,"1990STORMY - Sequoia NF, salv: plantedPost, prp: no, rel: e, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: planted","prp: no","rel: em","thn: no","replt: YES",7,"1990STORMY - Sequoia NF, salv: planted, prp: no, rel: em, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: both","prp: no","rel: ml","thn: no","replt: YES",6,"1990STORMY - Sequoia NF, salv: both, prp: no, rel: ml, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: planted","prp: no","rel: ml","thn: no","replt: YES",6,"1990STORMY - Sequoia NF, salv: planted, prp: no, rel: ml, thn: no, replt: YES"
"1990STORMY - Sequoia NF","salv: both","prp: no","rel: em","thn: no","replt: YES",5,"1990STORMY - Sequoia NF, salv: both, prp: no, rel: em, thn: no, replt: YES"
"1994COTTONWOOD - Tahoe NF","salv: neither","prp: no","rel: el","thn: no","replt: YES",91,"1994COTTONWOOD - Tahoe NF, salv: neither, prp: no, rel: el, thn: no, replt: YES"
"1994COTTONWOOD - Tahoe NF","salv: neither","prp: no","rel: no","thn: no","replt: YES",78,"1994COTTONWOOD - Tahoe NF, salv: neither, prp: no, rel: no, thn: no, replt: YES"
"1994COTTONWOOD - Tahoe NF","salv: neither","prp: no","rel: no","thn: no","replt: no",72,"1994COTTONWOOD - Tahoe NF, salv: neither, prp: no, rel: no, thn: no, replt: no"
"1994COTTONWOOD - Tahoe NF","salv: neither","prp: no","rel: e","thn: no","replt: YES",64,"1994COTTONWOOD - Tahoe NF, salv: neither, prp: no, rel: e, thn: no, replt: YES"
"1994COTTONWOOD - Tahoe NF","salv: planted","prp: no","rel: e","thn: no","replt: YES",64,"1994COTTONWOOD - Tahoe NF, salv: planted, prp: no, rel: e, thn: no, replt: YES"
"1994COTTONWOOD - Tahoe NF","salv: both","prp: no","rel: e","thn: no","replt: YES",58,"1994COTTONWOOD - Tahoe NF, salv: both, prp: no, rel: e, thn: no, replt: YES"
"1994COTTONWOOD - Tahoe NF","salv: neither","prp: no","rel: em","thn: no","replt: YES",18,"1994COTTONWOOD - Tahoe NF, salv: neither, prp: no, rel: em, thn: no, replt: YES"
"1994COTTONWOOD - Tahoe NF","salv: both","prp: no","rel: em","thn: no","replt: no",15,"1994COTTONWOOD - Tahoe NF, salv: both, prp: no, rel: em, thn: no, replt: no"
"1994COTTONWOOD - Tahoe NF","salv: neither","prp: no","rel: em","thn: YES","replt: no",15,"1994COTTONWOOD - Tahoe NF, salv: neither, prp: no, rel: em, thn: YES, replt: no"
"1994COTTONWOOD - Tahoe NF","salv: planted","prp: no","rel: em","thn: no","replt: no",15,"1994COTTONWOOD - Tahoe NF, salv: planted, prp: no, rel: em, thn: no, replt: no"
"1994COTTONWOOD - Tahoe NF","salv: both","prp: no","rel: no","thn: YES","replt: no",13,"1994COTTONWOOD - Tahoe NF, salv: both, prp: no, rel: no, thn: YES, replt: no"
"1994COTTONWOOD - Tahoe NF","salv: both","prp: no","rel: m","thn: no","replt: no",12,"1994COTTONWOOD - Tahoe NF, salv: both, prp: no, rel: m, thn: no, replt: no"
"1994COTTONWOOD - Tahoe NF","salv: planted","prp: no","rel: m","thn: no","replt: no",12,"1994COTTONWOOD - Tahoe NF, salv: planted, prp: no, rel: m, thn: no, replt: no"
"1994COTTONWOOD - Tahoe NF","salv: planted","prp: no","rel: no","thn: YES","replt: no",11,"1994COTTONWOOD - Tahoe NF, salv: planted, prp: no, rel: no, thn: YES, replt: no"
"1994COTTONWOOD - Tahoe NF","salv: both","prp: no","rel: no","thn: no","replt: no",10,"1994COTTONWOOD - Tahoe NF, salv: both, prp: no, rel: no, thn: no, replt: no"
"1994COTTONWOOD - Tahoe NF","salv: control","prp: no","rel: em","thn: no","replt: YES",9,"1994COTTONWOOD - Tahoe NF, salv: control, prp: no, rel: em, thn: no, replt: YES"
"1994COTTONWOOD - Tahoe NF","salv: planted","prp: no","rel: no","thn: no","replt: no",7,"1994COTTONWOOD - Tahoe NF, salv: planted, prp: no, rel: no, thn: no, replt: no"
"1994COTTONWOOD - Tahoe NF","salv: both","prp: no","rel: em","thn: no","replt: YES",5,"1994COTTONWOOD - Tahoe NF, salv: both, prp: no, rel: em, thn: no, replt: YES"
"1994COTTONWOOD - Tahoe NF","salv: control","prp: no","rel: e","thn: no","replt: YES",5,"1994COTTONWOOD - Tahoe NF, salv: control, prp: no, rel: e, thn: no, replt: YES"
"1994COTTONWOOD - Tahoe NF","salv: neither","prp: no","rel: l","thn: YES","replt: no",5,"1994COTTONWOOD - Tahoe NF, salv: neither, prp: no, rel: l, thn: YES, replt: no"
"2002MCNALLY - Sequoia NF","salv: neither","prp: no","rel: no","thn: no","replt: no",44,"2002MCNALLY - Sequoia NF, salv: neither, prp: no, rel: no, thn: no, replt: no"
"2002MCNALLY - Sequoia NF","salv: planted","prp: YES","rel: no","thn: no","replt: no",16,"2002MCNALLY - Sequoia NF, salv: planted, prp: YES, rel: no, thn: no, replt: no"
"2002MCNALLY - Sequoia NF","salv: neither","prp: YES","rel: e","thn: no","replt: no",15,"2002MCNALLY - Sequoia NF, salv: neither, prp: YES, rel: e, thn: no, replt: no"
"2002MCNALLY - Sequoia NF","salv: planted","prp: no","rel: no","thn: no","replt: no",11,"2002MCNALLY - Sequoia NF, salv: planted, prp: no, rel: no, thn: no, replt: no"
"2002MCNALLY - Sequoia NF","salv: planted","prp: YES","rel: e","thn: no","replt: no",8,"2002MCNALLY - Sequoia NF, salv: planted, prp: YES, rel: e, thn: no, replt: no"
"2002MCNALLY - Sequoia NF","salv: both","prp: no","rel: e","thn: no","replt: no",6,"2002MCNALLY - Sequoia NF, salv: both, prp: no, rel: e, thn: no, replt: no"
"2004POWER - Eldorado NF","salv: neither","prp: no","rel: e","thn: no","replt: no",22,"2004POWER - Eldorado NF, salv: neither, prp: no, rel: e, thn: no, replt: no"
"2004POWER - Eldorado NF","salv: planted","prp: no","rel: e","thn: YES","replt: no",19,"2004POWER - Eldorado NF, salv: planted, prp: no, rel: e, thn: YES, replt: no"
"2004POWER - Eldorado NF","salv: planted","prp: no","rel: el","thn: YES","replt: no",18,"2004POWER - Eldorado NF, salv: planted, prp: no, rel: el, thn: YES, replt: no"
"2004POWER - Eldorado NF","salv: neither","prp: no","rel: el","thn: YES","replt: no",15,"2004POWER - Eldorado NF, salv: neither, prp: no, rel: el, thn: YES, replt: no"
"2004POWER - Eldorado NF","salv: neither","prp: no","rel: e","thn: YES","replt: no",12,"2004POWER - Eldorado NF, salv: neither, prp: no, rel: e, thn: YES, replt: no"
"2004POWER - Eldorado NF","salv: neither","prp: no","rel: eml","thn: no","replt: YES",11,"2004POWER - Eldorado NF, salv: neither, prp: no, rel: eml, thn: no, replt: YES"
"2004POWER - Eldorado NF","salv: planted","prp: no","rel: e","thn: no","replt: no",9,"2004POWER - Eldorado NF, salv: planted, prp: no, rel: e, thn: no, replt: no"
"2004POWER - Eldorado NF","salv: neither","prp: no","rel: el","thn: no","replt: YES",7,"2004POWER - Eldorado NF, salv: neither, prp: no, rel: el, thn: no, replt: YES"
"2004POWER - Eldorado NF","salv: neither","prp: no","rel: eml","thn: no","replt: no",7,"2004POWER - Eldorado NF, salv: neither, prp: no, rel: eml, thn: no, replt: no"
"2004POWER - Eldorado NF","salv: planted","prp: no","rel: eml","thn: YES","replt: no",7,"2004POWER - Eldorado NF, salv: planted, prp: no, rel: eml, thn: YES, replt: no"
"2004POWER - Eldorado NF","salv: planted","prp: no","rel: em","thn: no","replt: no",6,"2004POWER - Eldorado NF, salv: planted, prp: no, rel: em, thn: no, replt: no"
"2004POWER - Eldorado NF","salv: both","prp: no","rel: el","thn: YES","replt: YES",5,"2004POWER - Eldorado NF, salv: both, prp: no, rel: el, thn: YES, replt: YES"
"2004POWER - Eldorado NF","salv: planted","prp: no","rel: el","thn: no","replt: YES",5,"2004POWER - Eldorado NF, salv: planted, prp: no, rel: el, thn: no, replt: YES"
"2004POWER - Eldorado NF","salv: planted","prp: no","rel: el","thn: YES","replt: YES",5,"2004POWER - Eldorado NF, salv: planted, prp: no, rel: el, thn: YES, replt: YES"
"2008GOVERNMENT - Tahoe NF","salv: neither","prp: no","rel: e","thn: no","replt: YES",42,"2008GOVERNMENT - Tahoe NF, salv: neither, prp: no, rel: e, thn: no, replt: YES"
"2008GOVERNMENT - Tahoe NF","salv: neither","prp: no","rel: e","thn: no","replt: no",32,"2008GOVERNMENT - Tahoe NF, salv: neither, prp: no, rel: e, thn: no, replt: no"
"2008GOVERNMENT - Tahoe NF","salv: neither","prp: no","rel: no","thn: no","replt: no",26,"2008GOVERNMENT - Tahoe NF, salv: neither, prp: no, rel: no, thn: no, replt: no"
"2008GOVERNMENT - Tahoe NF","salv: neither","prp: no","rel: m","thn: no","replt: no",7,"2008GOVERNMENT - Tahoe NF, salv: neither, prp: no, rel: m, thn: no, replt: no"
"2008PIUTE - Sequoia NF","salv: neither","prp: no","rel: no","thn: no","replt: no",117,"2008PIUTE - Sequoia NF, salv: neither, prp: no, rel: no, thn: no, replt: no"
"2008PIUTE - Sequoia NF","salv: neither","prp: no","rel: e","thn: no","replt: YES",95,"2008PIUTE - Sequoia NF, salv: neither, prp: no, rel: e, thn: no, replt: YES"
"2008PIUTE - Sequoia NF","salv: neither","prp: YES","rel: no","thn: no","replt: YES",51,"2008PIUTE - Sequoia NF, salv: neither, prp: YES, rel: no, thn: no, replt: YES"
"2008PIUTE - Sequoia NF","salv: neither","prp: no","rel: e","thn: no","replt: no",39,"2008PIUTE - Sequoia NF, salv: neither, prp: no, rel: e, thn: no, replt: no"
"2008PIUTE - Sequoia NF","salv: neither","prp: YES","rel: no","thn: YES","replt: no",21,"2008PIUTE - Sequoia NF, salv: neither, prp: YES, rel: no, thn: YES, replt: no"
