"fire.dist2","salv.perc","replt.perc","rel.perc","thin.perc"
"1987CLARK - Plumas NF",86,29,20,2
"1987HAMM_CMPLX - Stanislaus NF",0,39,97,13
"1987INDIAN - Tahoe NF",100,16,98,87
"1987LOST - Lassen NF",100,54,90,0
"1989LAYMAN - Plumas NF",53,47,47,7
"1989RACK - Plumas NF",76,25,14,14
"1990STORMY - Sequoia NF",52,46,81,1
"1992CLEVELAND - Eldorado NF",88,72,100,88
"1992RUBY - Stanislaus NF",90,0,49,52
"1994BIG_CREEK - Sierra NF",0,5,100,75
"1994COTTONWOOD - Tahoe NF",83,53,68,21
"1999PENDOLA - Plumas NF",89,6,6,17
"1999PENDOLA - Tahoe NF",100,4,85,71
"2000STORRIE - Lassen NF",50,0,100,100
"2001STAR - Eldorado NF",93,40,83,31
"2001STAR - Tahoe NF",42,35,44,12
"2001STREAM - Plumas NF",99,37,0,2
"2002CONE - Lassen NF",100,36,100,7
"2004FREDS - Eldorado NF",100,79,100,0
"2004POWER - Eldorado NF",67,17,90,11
"2004STRAYLOR - Lassen NF",93,64,98,93
"2006BASSETTS - Tahoe NF",7,5,99,53
"2006BOULDER_CMPLX - Plumas NF",100,0,0,0
"2007ANTELOPE_CMPLX - Plumas NF",53,3,6,14
"2007MOONLIGHT - Lassen NF",100,100,100,0
"2007MOONLIGHT - Plumas NF",74,10,20,0
"2008COLD - Plumas NF",58,0,0,0
"2008GOVERNMENT - Tahoe NF",10,32,78,2
"2008PIT - Plumas NF",0,0,100,0
"2008PIUTE - Sequoia NF",0,0,27,13
"2008RICH - Plumas NF",50,0,60,0
"2009SUGARLOAF - Lassen NF",20,0,25,3
"2012CHIPS - Plumas NF",85,0,49,0
"2012READING - Lassen NF",77,0,0,3
