"fire.dist2","salv.perc","replt.perc","rel.perc","thin.perc"
"1987CLARK - Plumas NF",72,34,20,2
"1987HAMM_CMPLX - Stanislaus NF",1,43,97,12
"1987INDIAN - Tahoe NF",100,49,98,87
"1987LOST - Lassen NF",100,53,90,0
"1989LAYMAN - Plumas NF",56,50,38,0
"1989RACK - Plumas NF",76,29,16,16
"1990STORMY - Sequoia NF",51,45,80,1
"1992CLEVELAND - Eldorado NF",56,62,100,85
"1992RUBY - Stanislaus NF",90,19,49,56
"1994BIG_CREEK - Sierra NF",0,37,100,84
"1994COTTONWOOD - Tahoe NF",27,57,65,21
"1999PENDOLA - Plumas NF",95,0,0,25
"1999PENDOLA - Tahoe NF",95,40,88,61
"2000STORRIE - Lassen NF",0,67,100,0
"2001STAR - Eldorado NF",36,60,82,29
"2001STAR - Tahoe NF",21,42,43,10
"2001STREAM - Plumas NF",98,84,0,1
"2002CONE - Lassen NF",100,31,100,38
"2004FREDS - Eldorado NF",0,80,100,0
"2004POWER - Eldorado NF",52,21,96,50
"2004STRAYLOR - Lassen NF",93,65,98,93
"2006BASSETTS - Tahoe NF",5,5,99,51
"2006BOULDER_CMPLX - Plumas NF",100,0,0,0
"2006RALSTON - Eldorado NF",100,100,100,0
"2006RALSTON - Tahoe NF",0,0,88,0
"2007MOONTELOPE - Lassen NF",100,100,100,0
"2007MOONTELOPE - Plumas NF",44,8,13,4
"2008COLD - Plumas NF",59,0,0,0
"2008GOVERNMENT - Tahoe NF",11,37,76,2
"2008PIT - Plumas NF",0,0,44,0
"2008PIUTE - Sequoia NF",0,33,31,16
"2008RICH - Plumas NF",48,0,61,0
"2009SUGARLOAF - Lassen NF",20,0,27,3
"2012CHIPS - Lassen NF",25,6,59,3
"2012CHIPS - Plumas NF",82,1,47,0
"2012READING - Lassen NF",80,0,17,1
