"FIRE_YEAR","FIRE_NAME","VB_ID","NUM_ASSESS","NIFMID_LNK","AGENCY","ICS_CODE","EDIT_DATE"
"1985"," ","1985USF0507198500000A",1,"USF0507198500000A","USF","LPF",20080516
"1985"," ","1985USF0507198500000B",1,"USF0507198500000B","USF","LPF",20080516
"1985"," ","1985USF05071985000999",2,"USF05071985000999","USF","LPF",20120821
"1985","1985CACCD0000J913","1985CACCD0000J913",1,"BLM0500198500J913","BLM","CCD",20040719
"1985","1985CAENF00000066","1985CAENF00000066",1,"USF05031985000066","USF","ENF",20040719
"1985","1985CAINF00000070","1985CAINF00000070",1,"USF05041985000070","USF","INF",20041004
"1985","1985CAINF00005307","1985CAINF00005307",1,"USF05041985005307","USF","INF",20041004
"1985","1985CALNF00000031","1985CALNF00000031",1,"USF05061985000031","USF","LNF",20110414
"1985","1985CALNF00000069","1985CALNF00000069",1,"USF05061985000069","USF","LNF",20110414
"1985","8 MILE","19858MILE",1,"CDF05001985000459","CDF","AEU",20040719
"1985","ADELAIDE","1985ADELAIDE",1,"USF05131985000002","USF","SQF",20080515
"1985","BACKBONE","1985BACKBONE",1,"CDF05001985000087","CDF","FKU",20041019
"1985","BARTLETT","1985BARTLETT",1,"NPS05001985000035","NPS","YNP",20040813
"1985","BIG CREEK","1985BIG_CREEK",1,"USF05151985000022","USF","SNF",20041004
"1985","BUCK","1985BUCK",1,"NPS05001985000080","NPS","YNP",20040816
"1985","CABANZO","1985CABANZO",1,"USF05121985000077","USF","BDF",20080515
"1985","DELTA","1985DELTA",1,"USF05141985000105","USF","SHF",20070601
"1985","DOUGHERTY","1985DOUGHERTY",1,"NPS05001985000007","NPS","KNP",20140506
"1985","FERNDALE","1985FERNDALE",1,"USF05071985000048","USF","LPF",20080515
"1985","GORDA-RAT","1985GORDA_RAT",2,"USF05071985000030","USF","LPF",20120821
"1985","KENDRICK","1985KENDRICK",1,"NPS05001985000034","NPS","YNP",20040813
"1985","LAS PILITAS","1985LAS_PILITAS",1,"CDF05001985000264","CDF","SLU",20080515
"1985","LOST BEAR","1985LOST_BEAR",1,"NPS05001985000067","NPS","YNP",20040813
"1985","MAMMOTH","1985MAMMOTH",1,"USF05151985000038","USF","SNF",20041004
"1985","OWENS","1985OWENS",1,"CDF05001985000083","CDF","BDU",20080516
"1985","PATE VALLEY","1985PATE_VALLEY",1,"NPS05001985000024","NPS","YNP",20040813
