"","type","tier","id","lat","long","year","cat","seed","geom"
"1","T",1,"C1000T","39.232800","-120.642294","2",1,"N",c(-120.642293687046, 39.2327995961073)
"2","T",1,"C1001T","39.224274","-120.592310","2",1,"N",c(-120.592309590763, 39.2242742732279)
"3","T",1,"C1002T","39.225459","-120.586258","2",1,"N",c(-120.586258122843, 39.2254586208139)
"4","T",1,"C1004T","39.229151","-120.574114","2",1,"N",c(-120.574114088606, 39.2291513121834)
"5","T",1,"C1008T","39.193703","-120.548944","1",1,"N",c(-120.548944242524, 39.1937034803516)
"6","T",1,"C1013T","39.191602","-120.546397","1",1,"F",c(-120.546396752946, 39.191602356275)
"7","T",1,"C1020T","39.204408","-120.544002","1",1,"F",c(-120.544002045882, 39.2044082373896)
"8","T",1,"C1023T","39.202688","-120.542041","1",1,"F",c(-120.542041236619, 39.2026879245021)
"9","T",1,"C1026T","39.202407","-120.540118","1",1,"N",c(-120.540118065327, 39.2024065153078)
"10","T",1,"C1028T","39.196991","-120.534700","1",1,"N",c(-120.534699786662, 39.1969908505633)
"11","T",1,"C1029T","39.191983","-120.532060","1",1,"N",c(-120.532059565788, 39.1919834098473)
"12","T",1,"C1030T","39.190479","-120.531453","1",1,"F",c(-120.531453338948, 39.1904793291378)
"13","T",1,"C1031T","39.189847","-120.530850","1",1,"F",c(-120.530850444257, 39.1898473694207)
"14","T",1,"C1032T","39.189018","-120.530578","1",1,"N",c(-120.530577895637, 39.1890183333365)
"15","T",1,"C1033T","39.197369","-120.527776","1",1,"N",c(-120.52777583707, 39.1973689007359)
"16","T",1,"C1034T","39.198031","-120.527105","1",1,"N",c(-120.527105451674, 39.1980309766542)
"17","T",1,"C1035T","39.199773","-120.527090","1",1,"N",c(-120.527089941409, 39.1997729879937)
"18","T",1,"C1036T","39.200756","-120.526549","1",1,"F",c(-120.526549290363, 39.2007563062374)
"19","T",1,"C1037T","39.187879","-120.521615","2",1,"N",c(-120.521614666738, 39.1878789284895)
"20","T",1,"C1038T","39.188480","-120.520774","2",1,"N",c(-120.520774085697, 39.1884799749528)
"21","T",1,"C1039T","39.189087","-120.519940","2",1,"N",c(-120.519940137125, 39.1890865137854)
"22","T",1,"C1040T","39.179950","-120.519214","2",1,"N",c(-120.519214394223, 39.1799502472219)
"23","T",1,"C1041T","39.180788","-120.518870","2",1,"N",c(-120.518870330318, 39.1807877404384)
"24","T",1,"C1043T","39.191276","-120.516353","2",1,"N",c(-120.516353020264, 39.1912761756859)
"25","T",1,"C1044T","39.191768","-120.515418","2",1,"N",c(-120.515417937979, 39.191768116128)
"26","I",2,"C1003I","39.231138","-120.575590","2",2,"F",c(-120.575589573784, 39.2311382704118)
"27","I",2,"C1005I","39.231146","-120.573850","2",2,"F",c(-120.573850472508, 39.2311464526335)
"28","I",2,"C1006I","39.194792","-120.554446","2",2,"F",c(-120.554445729581, 39.1947915010869)
"29","I",2,"C1007I","39.197515","-120.549251","2",2,"F",c(-120.549251134055, 39.1975145570737)
"30","I",2,"C1009I","39.194823","-120.547493","2",2,"F",c(-120.547492747512, 39.1948228769564)
"31","I",2,"C1010I","39.196173","-120.547503","2",2,"F",c(-120.547502785693, 39.1961726202048)
"32","I",2,"C1011I","39.198872","-120.547523","2",2,"F",c(-120.547522863161, 39.1988721089918)
"33","I",2,"C1012I","39.200222","-120.547533","2",2,"F",c(-120.547532902447, 39.200221854532)
