"","type","tier","id","lat","long","year","cat","seed","geom"
"1","T",1,"C2001T","39.232735","-120.642447","2",1,"N",c(-120.642446960283, 39.2327354618916)
"2","T",1,"C2002T","39.224566","-120.592086","2",1,"N",c(-120.592086459532, 39.2245658349493)
"3","T",1,"C2003T","39.225281","-120.588818","2",1,"N",c(-120.588817822486, 39.2252808670266)
"4","T",1,"C2004T","39.225450","-120.587659","2",1,"N",c(-120.587658560262, 39.2254495158645)
"5","T",1,"C2005T","39.225572","-120.586488","2",1,"N",c(-120.58648775322, 39.225572233273)
"6","T",1,"C2006T","39.229494","-120.574156","2",1,"N",c(-120.574156274815, 39.2294943988787)
"7","T",1,"C2007T","39.191772","-120.546397","1",1,"F",c(-120.546396692013, 39.1917723942935)
"8","T",1,"C2008T","39.203813","-120.542812","1",1,"F",c(-120.542811667772, 39.2038131863947)
"9","T",1,"C2009T","39.197332","-120.528105","1",1,"N",c(-120.528105220833, 39.19733160693)
"10","T",1,"C2010T","39.197981","-120.527346","1",1,"N",c(-120.527345990431, 39.1979809986896)
"11","T",1,"C2011T","39.187825","-120.521433","2",1,"N",c(-120.521433201985, 39.1878247428263)
"12","T",1,"C2012T","39.188425","-120.520595","2",1,"N",c(-120.520594618165, 39.1884248683892)
"13","T",1,"C2013T","39.189031","-120.519763","2",1,"N",c(-120.5197634871, 39.1890311503915)
"14","T",1,"C2014T","39.180370","-120.518908","2",1,"N",c(-120.518908288653, 39.1803700898595)
"15","T",1,"C2015T","39.191209","-120.516176","2",1,"N",c(-120.516175815969, 39.1912093089219)
"16","T",1,"C2016T","39.191643","-120.515215","2",1,"N",c(-120.515215198472, 39.1916425231602)
"17","C",1,"C2001C","39.233229","-120.641594","2",1,"N",c(-120.641593638828, 39.2332285032444)
"18","C",1,"C2002C","39.224295","-120.593263","2",1,"N",c(-120.593262875983, 39.224295067975)
"19","C",1,"C2003C","39.224594","-120.588050","2",1,"N",c(-120.588050079291, 39.224594291049)
"20","C",1,"C2004C","39.224640","-120.587590","2",1,"N",c(-120.587589561731, 39.2246399511969)
"21","C",1,"C2005C","39.224760","-120.586439","2",1,"N",c(-120.586439320823, 39.2247602770655)
"22","C",1,"C2006C","39.228844","-120.575229","2",1,"N",c(-120.575228878944, 39.2288436905391)
"23","C",1,"C2007C","39.191155","-120.547075","1",1,"F",c(-120.547074511361, 39.1911554993997)
"24","C",1,"C2008C","39.203446","-120.544462","1",1,"F",c(-120.544461723282, 39.2034459081782)
"25","C",1,"C2009C","39.196757","-120.527368","1",1,"N",c(-120.527368409271, 39.1967570665829)
"26","C",1,"C2010C","39.197099","-120.526834","1",1,"N",c(-120.526833959626, 39.1970985485193)
"27","C",1,"C2011C","39.188769","-120.521652","2",1,"N",c(-120.521652264866, 39.1887692173974)
"28","C",1,"C2012C","39.189013","-120.521311","2",1,"N",c(-120.52131092143, 39.189013496955)
"29","C",1,"C2013C","39.189258","-120.520970","2",1,"N",c(-120.520969575729, 39.1892577755832)
"30","C",1,"C2014C","39.180606","-120.519906","2",1,"N",c(-120.519905875415, 39.1806058323059)
"31","C",1,"C2015C","39.191849","-120.516816","2",1,"N",c(-120.516816302938, 39.1918489491456)
"32","C",1,"C2016C","39.192278","-120.516071","2",1,"N",c(-120.516070555987, 39.1922782888726)
