"","type","tier","id","lat","long","year","cat","seed","geom"
"1","T",1,"D1052T","39.629317","-120.141891","3",1,"N",c(-120.141890542163, 39.6293166279756)
"2","T",1,"D1053T","39.629576","-120.140835","3",1,"N",c(-120.140835339651, 39.6295759038535)
"3","T",1,"D1055T","39.630027","-120.137755","3",1,"N",c(-120.137754567359, 39.6300273906436)
"4","T",1,"D1059T","39.630782","-120.135748","3",1,"N",c(-120.135748038483, 39.6307824576525)
"5","T",1,"D1060T","39.616563","-120.134796","2",3,"N",c(-120.134796096406, 39.6165634059625)
"6","T",1,"D1061T","39.630314","-120.134786","3",1,"N",c(-120.134786434159, 39.6303144225074)
"7","T",1,"D1062T","39.614114","-120.133436","2",3,"N",c(-120.133436280472, 39.6141136899825)
"8","T",1,"D1063T","39.624366","-120.132804","2",3,"N",c(-120.132803881452, 39.624365794944)
"9","T",1,"D1064T","39.629299","-120.132029","3",1,"F",c(-120.132029396993, 39.6292993104913)
"10","T",1,"D1065T","39.617150","-120.131604","2",3,"F",c(-120.131603973899, 39.6171503279362)
"11","T",1,"D1066T","39.617696","-120.130698","2",3,"F",c(-120.130697537253, 39.6176960736467)
"12","T",1,"D1067T","39.618558","-120.130463","2",3,"N",c(-120.130462628481, 39.6185581037719)
"13","T",1,"D1068T","39.614174","-120.130014","2",3,"N",c(-120.130013587644, 39.6141741087498)
"14","T",1,"D1069T","39.615051","-120.129749","2",3,"N",c(-120.129749296746, 39.6150507043436)
"15","T",1,"D1070T","39.617278","-120.129478","2",3,"N",c(-120.129478147956, 39.6172775328598)
"16","T",1,"D1071T","39.615808","-120.129141","2",3,"N",c(-120.129141192991, 39.6158083130251)
"17","T",1,"D1089T","39.609031","-120.123986","2",3,"N",c(-120.123985805899, 39.609031403158)
"18","T",1,"D1090T","39.620262","-120.123937","2",3,"N",c(-120.123936573307, 39.6202624476682)
"19","T",1,"D1095T","39.619034","-120.122317","2",3,"F",c(-120.122317309451, 39.6190343290141)
"20","T",1,"D1096T","39.618165","-120.122096","2",3,"F",c(-120.122095978518, 39.6181649865811)
