"","type","tier","id","lat","long","t2_opt","t3_opt","elev1","rad1","elev2","rad2","year","cat","seed"
"1","T",1,"A1005T","40.239212","-120.836209","A1003T","A1097T","3","2","2","2","3",1,"N"
"2","T",1,"A1006T","40.253053","-120.831528","A1014T","","4","4","1","1","3",2,"N"
"3","T",1,"A1008T","40.244229","-120.827420","A1101T","A1009T","2","2","1","2","3",1,"F"
"4","T",1,"A1010T","40.250567","-120.825233","A1094T","A1012T","3","2","2","1","3",2,"N"
"5","T",1,"A1016T","40.233342","-120.791189","","","1","1","1","2","3",1,"N"
"6","T",1,"A1017T","40.275570","-120.789054","A1011T","A1115T","3","1","2","2","3",1,"N"
"7","T",1,"A1041T","40.244870","-120.750856","","","1","4","1","1","3",2,"N"
"8","T",1,"A1045T","40.232865","-120.741023","A1064T","A1151T","1","1","2","1","3",2,"F"
"9","T",1,"A1046T","40.276213","-120.711171","A1004T","A1007T","3","4","2","1","3",2,"N"
"10","T",1,"A1047T","40.270057","-120.681828","A1119T","A1104T","3","2","2","1","3",1,"N"
"11","T",1,"A1079T","40.198552","-120.733088","A1092T","A1130T","2","2","2","1","3",2,"F"
"12","T",1,"A1095T","40.203913","-120.724353","A1093T","A1091T","2","2","1","1","3",2,"F"
"13","T",1,"A1096T","40.224010","-120.722287","A1117T","A1116T","1","2","1","2","3",1,"N"
"14","T",1,"A1099T","40.211632","-120.711385","A1111T","","2","1","1","1","3",1,"F"
"15","T",1,"A1100T","40.201623","-120.703960","A1128T","A1078T","2","1","2","2","3",2,"F"
"16","T",1,"A1103T","40.200911","-120.684108","A1113T","A1013T","3","1","2","1","3",1,"N"
"17","T",1,"A1105T","40.203310","-120.677715","A1107T","A1108T","1","2","1","1","3",1,"F"
"18","T",1,"A1106T","40.194882","-120.677484","A1015T","A1125T","2","2","2","1","3",1,"N"
"19","T",1,"A1109T","40.201052","-120.676458","A1120T","A1121T","1","2","2","2","3",1,"N"
"20","T",1,"A1110T","40.194090","-120.665143","A1123T","","2","1","1","2","3",1,"F"
"21","T",1,"A1112T","40.195355","-120.664004","A1027T","A1024T","1","1","2","1","3",1,"F"
"22","T",1,"A1118T","40.230639","-120.658488","A1028T","A1114T","1","2","1","2","3",1,"F"
"23","T",1,"A1124T","40.190570","-120.644289","A1018T","A1025T","1","1","1","2","3",1,"F"
"24","T",1,"A1126T","40.160303","-120.680561","","","2","1","1","2","3",1,"N"
"25","T",1,"A1127T","40.160985","-120.679975","","","1","1","2","1","3",1,"N"
"26","T",1,"A1129T","40.179664","-120.664315","A1076T","A1102T","4","2","1","2","3",2,"N"
"27","T",1,"A1132T","40.162726","-120.659101","A1134T","A1131T","2","2","2","2","3",1,"N"
"28","T",1,"A1133T","40.161486","-120.653220","","","2","1","2","2","3",1,"N"
"29","T",1,"A1136T","40.154028","-120.650927","A1138T","A1135T","3","3","1","2","3",2,"N"
"30","T",1,"A1137T","40.185812","-120.650332","A1122T","A1098T","2","2","1","1","3",1,"F"
"31","T",1,"A1141T","40.158271","-120.618599","A1032T","A1139T","2","2","1","2","3",2,"N"
"32","T",1,"A1145T","40.135686","-120.626696","A1140T","A1143T","1","2","2","2","3",2,"N"
"33","T",1,"A1147T","40.102697","-120.624084","","","1","2","1","2","1",1,"N"
"34","T",1,"A1148T","40.102101","-120.622703","A1160T","","1","2","2","2","1",1,"N"
"35","T",1,"A1149T","40.122291","-120.620089","A1146T","A1144T","1","3","2","1","3",2,"N"
"36","T",1,"A1150T","40.133765","-120.619209","A1154T","","2","4","1","2","3",2,"N"
"37","T",1,"A1152T","40.115592","-120.617429","","","1","1","1","2","1",1,"N"
"38","T",1,"A1153T","40.140048","-120.617545","A1142T","A1030T","1","2","2","2","3",2,"F"
"39","T",1,"A1155T","40.115802","-120.616351","A1159T","","1","1","1","1","1",1,"N"
"40","T",1,"A1156T","40.107571","-120.614113","","","2","1","2","1","1",1,"N"
"41","T",1,"A1157T","40.107141","-120.613794","","","2","2","2","1","1",1,"N"
"42","T",1,"A1158T","40.108577","-120.612805","","","2","1","1","2","1",1,"N"
