"","type","tier","id","lat","long","t2_opt","t3_opt","elev1","rad1","elev2","rad2","year","cat","seed"
"1","T",1,"A2000T","40.276189","-120.788593","","","4","1","2","2","3",1,"N"
"2","T",1,"A2001T","40.242640","-120.845417","A2015T","","4","2","2","2","3",1,"N"
"3","T",1,"A2002T","40.240468","-120.843998","A2018T","","4","3","2","1","3",1,"N"
"4","T",1,"A2003T","40.242265","-120.839554","A2014T","","2","1","2","2","3",2,"N"
"5","T",1,"A2004T","40.241279","-120.832709","A2025T","","3","2","1","1","3",1,"N"
"6","T",1,"A2005T","40.251751","-120.832449","A2007T","","2","3","2","2","3",2,"N"
"7","T",1,"A2006T","40.244204","-120.831739","","","3","3","1","2","3",1,"N"
"8","T",1,"A2009T","40.257821","-120.818362","","","2","2","2","1","3",2,"N"
"9","T",1,"A2012T","40.256970","-120.812742","A2008T","A2011T","2","1","1","2","3",2,"N"
"10","T",1,"A2013T","40.255983","-120.811206","","","2","1","1","1","3",2,"N"
"11","T",1,"A2017T","40.234322","-120.789680","","","1","1","2","1","3",2,"N"
"12","T",1,"A2019T","40.235542","-120.782034","A2016T","A2026T","1","1","2","2","3",2,"N"
"13","T",1,"A2020T","40.214706","-120.737931","","","2","2","1","1","3",1,"N"
"14","T",1,"A2021T","40.208690","-120.729152","A2010T","","2","2","2","2","3",2,"N"
"15","T",1,"A2022T","40.220563","-120.726756","","","2","1","1","2","3",1,"N"
"16","T",1,"A2023T","40.197292","-120.683631","","","2","3","2","1","3",2,"N"
"17","T",1,"A2027T","40.156970","-120.653046","","","2","3","1","2","3",1,"N"
"18","T",1,"A2028T","40.148980","-120.649973","A2024T","","1","2","2","2","3",1,"N"
"19","T",1,"A2031T","40.129800","-120.627472","A2030T","A2029T","1","2","1","2","3",2,"N"
"20","T",1,"A2032T","40.114222","-120.624429","","","1","1","1","1","3",2,"N"
"21","T",1,"A2033T","40.103062","-120.624096","","","1","2","1","1","1",1,"N"
"22","T",1,"A2034T","40.102644","-120.622540","","","1","2","2","1","1",1,"N"
"23","T",1,"A2035T","40.122481","-120.620093","","","1","3","1","1","3",2,"N"
"24","T",1,"A2036T","40.115569","-120.616955","","","1","1","1","1","1",1,"N"
"25","T",1,"A2037T","40.107451","-120.613852","","","2","1","2","1","1",1,"N"
"26","T",1,"A2038T","40.095702","-120.611978","","","2","2","2","2","1",1,"N"
"27","T",1,"A2039T","40.098004","-120.607290","","","3","1","1","1","1",1,"N"
"28","T",1,"A2040T","40.100305","-120.606349","A2042T","","3","1","2","2","1",1,"N"
"29","T",1,"A2041T","40.101159","-120.605952","","","3","1","1","2","1",1,"N"
"30","T",2,"A2007T","40.252413","-120.831781",NA,NA,"2","3","2","2","3",2,"N"
"31","T",2,"A2008T","40.245934","-120.825668",NA,NA,"2","1","1","2","3",2,"N"
"32","T",2,"A2010T","40.256421","-120.817775",NA,NA,"2","2","2","2","3",2,"N"
"33","T",2,"A2014T","40.255158","-120.811028",NA,NA,"2","1","2","2","3",2,"N"
"34","T",2,"A2015T","40.251397","-120.808032",NA,NA,"4","2","2","2","3",1,"N"
"35","T",2,"A2016T","40.233701","-120.790947",NA,NA,"1","1","2","2","3",2,"N"
"36","T",2,"A2018T","40.274771","-120.785503",NA,NA,"4","3","2","1","3",1,"N"
"37","T",2,"A2024T","40.228423","-120.658455",NA,NA,"1","2","2","2","3",1,"N"
"38","T",2,"A2025T","40.159476","-120.684119",NA,NA,"3","2","1","1","3",1,"N"
"39","T",2,"A2030T","40.157925","-120.618332",NA,NA,"1","2","1","2","3",2,"N"
"40","T",2,"A2042T","40.100602","-120.605407",NA,NA,"3","1","2","2","1",1,"N"
"41","T",3,"A2011T","40.256090","-120.815680",NA,NA,"2","1","1","2","3",2,"N"
"42","T",3,"A2026T","40.160879","-120.680196",NA,NA,"1","1","2","2","3",2,"N"
"43","T",3,"A2029T","40.157690","-120.619143",NA,NA,"1","2","1","2","3",2,"N"
"44","C",1,"A2000C","40.276546","-120.789645",NA,NA,"4","1","2","2","3",1,"N"
"45","C",1,"A2001C","40.242944","-120.846407",NA,NA,"4","2","2","2","3",1,"N"
"46","C",1,"A2002C","40.241077","-120.843327",NA,NA,"4","3","2","1","3",1,"N"
"47","C",1,"A2003C","40.242953","-120.840070",NA,NA,"2","1","2","2","3",2,"N"
"48","C",1,"A2004C","40.241955","-120.833210",NA,NA,"3","2","1","1","3",1,"N"
"49","C",1,"A2005C","40.251038","-120.833026",NA,NA,"2","3","2","2","3",2,"N"
"50","C",1,"A2006C","40.243471","-120.832041",NA,NA,"3","3","1","2","3",1,"N"
