"","type","tier","id","lat","long","t2_opt","t3_opt","elev1","rad1","elev2","rad2","year","cat","seed"
"1","T",1,"D1000T","35.508312","-118.366501","","","C","C","C","C","2",1,"N"
"2","T",1,"D1001T","35.509626","-118.365266","","","B","B","B","B","2",1,"N"
"3","T",1,"D1005T","35.473954","-118.374525","","","3","4","1","1","3",2,"N"
"4","T",1,"D1006T","35.473073","-118.374331","","","2","3","2","2","3",2,"N"
"5","T",1,"D1007T","35.472200","-118.372869","","","3","2","1","2","3",2,"N"
"6","T",1,"D1008T","35.477056","-118.372734","","","3","1","1","1","3",2,"N"
"7","T",1,"D1009T","35.478606","-118.372640","","","3","3","1","2","3",2,"N"
"8","T",1,"D1010T","35.483227","-118.368696","D1011T","","3","2","1","1","3",2,"N"
"9","T",1,"D1012T","35.480144","-118.367072","","","3","1","1","2","3",2,"N"
"10","T",1,"D1013T","35.458670","-118.366403","","","2","2","2","1","2",1,"N"
"11","T",1,"D1015T","35.469294","-118.365643","","","A","A","A","A","2",1,"N"
"12","T",1,"D1016T","35.472386","-118.365526","","","2","1","1","2","2",1,"N"
"13","T",1,"D1017T","35.471512","-118.365430","","","2","1","1","1","2",1,"N"
"14","T",1,"D1018T","35.457893","-118.364644","","","2","2","1","1","2",1,"N"
"15","T",1,"D1025T","35.502261","-118.362344","D1035T","","1","1","2","2","2",1,"N"
"16","T",1,"D1092T","35.486104","-118.349788","D1101T","","1","2","2","2","2",1,"N"
"17","T",1,"D1093T","35.479947","-118.349675","","","1","1","1","1","2",1,"N"
"18","T",1,"D1097T","35.479443","-118.348758","D1100T","","1","1","1","2","2",1,"N"
"19","T",1,"D1099T","35.475103","-118.347853","D1098T","","1","2","1","1","2",1,"N"
"20","T",2,"D1011T","35.481457","-118.368424",NA,NA,"3","2","1","1","3",2,"N"
"21","T",2,"D1035T","35.501968","-118.361647",NA,NA,"1","1","2","2","2",1,"N"
"22","T",2,"D1098T","35.474206","-118.347937",NA,NA,"1","2","1","1","2",1,"N"
"23","T",2,"D1100T","35.482573","-118.347559",NA,NA,"1","1","1","2","2",1,"N"
"24","T",2,"D1101T","35.488444","-118.347403",NA,NA,"1","2","2","2","2",1,"N"
"25","I",NA,"D1002I","35.508164","-118.365106",NA,NA,NA,NA,NA,NA,"2",3,"F"
"26","I",NA,"D1003I","35.505417","-118.361853",NA,NA,NA,NA,NA,NA,"2",3,"F"
"27","I",NA,"D1004I","35.506767","-118.361824",NA,NA,NA,NA,NA,NA,"2",3,"F"
"28","I",NA,"D1014I","35.459553","-118.366133",NA,NA,NA,NA,NA,NA,"2",3,"F"
"29","I",NA,"D1019I","35.459530","-118.364479",NA,NA,NA,NA,NA,NA,"2",3,"F"
"30","I",NA,"D1020I","35.466281","-118.364336",NA,NA,NA,NA,NA,NA,"2",3,"F"
"31","I",NA,"D1021I","35.467632","-118.364308",NA,NA,NA,NA,NA,NA,"2",3,"F"
"32","I",NA,"D1022I","35.468982","-118.364279",NA,NA,NA,NA,NA,NA,"2",3,"F"
"33","I",NA,"D1023I","35.471683","-118.364222",NA,NA,NA,NA,NA,NA,"2",3,"F"
"34","I",NA,"D1024I","35.473033","-118.364193",NA,NA,NA,NA,NA,NA,"2",3,"F"
"35","I",NA,"D1026I","35.459507","-118.362825",NA,NA,NA,NA,NA,NA,"2",3,"F"
"36","I",NA,"D1027I","35.460857","-118.362796",NA,NA,NA,NA,NA,NA,"2",3,"F"
"37","I",NA,"D1028I","35.466258","-118.362682",NA,NA,NA,NA,NA,NA,"2",3,"F"
"38","I",NA,"D1029I","35.467608","-118.362653",NA,NA,NA,NA,NA,NA,"2",3,"F"
"39","I",NA,"D1030I","35.468959","-118.362625",NA,NA,NA,NA,NA,NA,"2",3,"F"
"40","I",NA,"D1031I","35.470309","-118.362596",NA,NA,NA,NA,NA,NA,"2",3,"F"
"41","I",NA,"D1032I","35.471659","-118.362568",NA,NA,NA,NA,NA,NA,"2",3,"F"
"42","I",NA,"D1033I","35.473010","-118.362539",NA,NA,NA,NA,NA,NA,"2",3,"F"
"43","I",NA,"D1034I","35.474360","-118.362511",NA,NA,NA,NA,NA,NA,"2",3,"F"
"44","I",NA,"D1036I","35.460833","-118.361142",NA,NA,NA,NA,NA,NA,"2",3,"F"
"45","I",NA,"D1037I","35.462184","-118.361114",NA,NA,NA,NA,NA,NA,"2",3,"F"
"46","I",NA,"D1038I","35.463534","-118.361085",NA,NA,NA,NA,NA,NA,"2",3,"F"
"47","I",NA,"D1039I","35.464884","-118.361056",NA,NA,NA,NA,NA,NA,"2",3,"F"
"48","I",NA,"D1040I","35.466235","-118.361028",NA,NA,NA,NA,NA,NA,"2",3,"F"
"49","I",NA,"D1041I","35.467585","-118.360999",NA,NA,NA,NA,NA,NA,"2",3,"F"
"50","I",NA,"D1042I","35.468935","-118.360971",NA,NA,NA,NA,NA,NA,"2",3,"F"
"51","I",NA,"D1043I","35.470286","-118.360942",NA,NA,NA,NA,NA,NA,"2",3,"F"
"52","I",NA,"D1044I","35.471636","-118.360913",NA,NA,NA,NA,NA,NA,"2",3,"F"
"53","I",NA,"D1045I","35.472986","-118.360885",NA,NA,NA,NA,NA,NA,"2",3,"F"
"54","I",NA,"D1046I","35.474337","-118.360856",NA,NA,NA,NA,NA,NA,"2",3,"F"
"55","I",NA,"D1047I","35.475687","-118.360828",NA,NA,NA,NA,NA,NA,"2",3,"F"
"56","I",NA,"D1048I","35.477037","-118.360799",NA,NA,NA,NA,NA,NA,"2",3,"F"
"57","I",NA,"D1049I","35.478388","-118.360770",NA,NA,NA,NA,NA,NA,"2",3,"F"
"58","I",NA,"D1050I","35.462160","-118.359460",NA,NA,NA,NA,NA,NA,"2",3,"F"
"59","I",NA,"D1051I","35.463511","-118.359431",NA,NA,NA,NA,NA,NA,"2",3,"F"
"60","I",NA,"D1052I","35.464861","-118.359402",NA,NA,NA,NA,NA,NA,"2",3,"F"
"61","I",NA,"D1053I","35.470262","-118.359288",NA,NA,NA,NA,NA,NA,"2",3,"F"
"62","I",NA,"D1054I","35.471613","-118.359259",NA,NA,NA,NA,NA,NA,"2",3,"F"
"63","I",NA,"D1055I","35.472963","-118.359231",NA,NA,NA,NA,NA,NA,"2",3,"F"
"64","I",NA,"D1056I","35.474313","-118.359202",NA,NA,NA,NA,NA,NA,"2",3,"F"
"65","I",NA,"D1057I","35.475664","-118.359173",NA,NA,NA,NA,NA,NA,"2",3,"F"
"66","I",NA,"D1058I","35.477014","-118.359145",NA,NA,NA,NA,NA,NA,"2",3,"F"
"67","I",NA,"D1059I","35.463487","-118.357777",NA,NA,NA,NA,NA,NA,"2",3,"F"
"68","I",NA,"D1060I","35.464838","-118.357748",NA,NA,NA,NA,NA,NA,"2",3,"F"
"69","I",NA,"D1061I","35.466188","-118.357719",NA,NA,NA,NA,NA,NA,"2",3,"F"
"70","I",NA,"D1062I","35.471589","-118.357605",NA,NA,NA,NA,NA,NA,"2",3,"F"
"71","I",NA,"D1063I","35.472940","-118.357576",NA,NA,NA,NA,NA,NA,"2",3,"F"
"72","I",NA,"D1064I","35.474290","-118.357548",NA,NA,NA,NA,NA,NA,"2",3,"F"
"73","I",NA,"D1065I","35.475640","-118.357519",NA,NA,NA,NA,NA,NA,"2",3,"F"
"74","I",NA,"D1066I","35.476991","-118.357490",NA,NA,NA,NA,NA,NA,"2",3,"F"
"75","I",NA,"D1067I","35.478341","-118.357462",NA,NA,NA,NA,NA,NA,"2",3,"F"
"76","I",NA,"D1068I","35.464814","-118.356094",NA,NA,NA,NA,NA,NA,"2",3,"F"
"77","I",NA,"D1069I","35.466165","-118.356065",NA,NA,NA,NA,NA,NA,"2",3,"F"
"78","I",NA,"D1070I","35.474266","-118.355893",NA,NA,NA,NA,NA,NA,"2",3,"F"
"79","I",NA,"D1071I","35.475617","-118.355865",NA,NA,NA,NA,NA,NA,"2",3,"F"
"80","I",NA,"D1072I","35.476967","-118.355836",NA,NA,NA,NA,NA,NA,"2",3,"F"
"81","I",NA,"D1073I","35.478317","-118.355807",NA,NA,NA,NA,NA,NA,"2",3,"F"
"82","I",NA,"D1074I","35.479668","-118.355778",NA,NA,NA,NA,NA,NA,"2",3,"F"
"83","I",NA,"D1075I","35.481018","-118.355750",NA,NA,NA,NA,NA,NA,"2",3,"F"
"84","I",NA,"D1076I","35.482368","-118.355721",NA,NA,NA,NA,NA,NA,"2",3,"F"
"85","I",NA,"D1077I","35.464791","-118.354440",NA,NA,NA,NA,NA,NA,"2",3,"F"
"86","I",NA,"D1078I","35.466141","-118.354411",NA,NA,NA,NA,NA,NA,"2",3,"F"
"87","I",NA,"D1079I","35.467492","-118.354382",NA,NA,NA,NA,NA,NA,"2",3,"F"
"88","I",NA,"D1080I","35.474243","-118.354239",NA,NA,NA,NA,NA,NA,"2",3,"F"
"89","I",NA,"D1081I","35.475593","-118.354210",NA,NA,NA,NA,NA,NA,"2",3,"F"
"90","I",NA,"D1082I","35.476944","-118.354181",NA,NA,NA,NA,NA,NA,"2",3,"F"
"91","I",NA,"D1083I","35.478294","-118.354153",NA,NA,NA,NA,NA,NA,"2",3,"F"
"92","I",NA,"D1084I","35.479644","-118.354124",NA,NA,NA,NA,NA,NA,"2",3,"F"
"93","I",NA,"D1085I","35.480995","-118.354095",NA,NA,NA,NA,NA,NA,"2",3,"F"
"94","I",NA,"D1086I","35.482345","-118.354067",NA,NA,NA,NA,NA,NA,"2",3,"F"
"95","I",NA,"D1087I","35.474220","-118.352585",NA,NA,NA,NA,NA,NA,"2",3,"F"
"96","I",NA,"D1088I","35.478271","-118.352498",NA,NA,NA,NA,NA,NA,"2",3,"F"
"97","I",NA,"D1089I","35.479621","-118.352470",NA,NA,NA,NA,NA,NA,"2",3,"F"
"98","I",NA,"D1090I","35.480971","-118.352441",NA,NA,NA,NA,NA,NA,"2",3,"F"
"99","I",NA,"D1091I","35.474196","-118.350930",NA,NA,NA,NA,NA,NA,"2",3,"F"
"100","I",NA,"D1094I","35.475523","-118.349247",NA,NA,NA,NA,NA,NA,"2",3,"F"
"101","I",NA,"D1095I","35.484975","-118.349045",NA,NA,NA,NA,NA,NA,"2",3,"F"
"102","I",NA,"D1096I","35.486325","-118.349017",NA,NA,NA,NA,NA,NA,"2",3,"F"
"103","C",1,"D1000C","35.507679","-118.367126",NA,NA,"C","C","C","C","2",1,"N"
"104","C",1,"D1001C","35.509894","-118.364325",NA,NA,"B","B","B","B","2",1,"N"
"105","C",1,"D1005C","35.473926","-118.375522",NA,NA,"3","4","1","1","3",2,"N"
"106","C",1,"D1006C","35.473748","-118.375493",NA,NA,"2","3","2","2","3",2,"N"
"107","C",1,"D1007C","35.471464","-118.373964",NA,NA,"3","2","1","2","3",2,"N"
"108","C",1,"D1008C","35.477671","-118.373382",NA,NA,"3","1","1","1","3",2,"N"
"109","C",1,"D1009C","35.478275","-118.373549",NA,NA,"3","3","1","2","3",2,"N"
"110","C",1,"D1010C","35.482732","-118.367622",NA,NA,"3","2","1","1","3",2,"N"
"111","C",1,"D1012C","35.480794","-118.366459",NA,NA,"3","1","1","2","3",2,"N"
"112","C",1,"D1013C","35.458996","-118.367336",NA,NA,"2","2","2","1","2",1,"N"
"113","C",1,"D1015C","35.470438","-118.365058",NA,NA,"A","A","A","A","2",1,"N"
"114","C",1,"D1016C","35.471402","-118.366425",NA,NA,"2","1","1","2","2",1,"N"
"115","C",1,"D1017C","35.471229","-118.366363",NA,NA,"2","1","1","1","2",1,"N"
