,type,tier,id,lat,long,year,cat,seed
1,T,1,B1000T,38.510314,-120.350781,3,1,N
2,T,1,B1001T,38.502577,-120.349555,3,1,N
3,T,1,B1002T,38.485168,-120.301983,3,1,N
4,T,1,B1003T,38.48362,-120.301659,3,1,N
5,T,1,B1004T,38.48665,-120.301264,3,1,N
6,T,1,B1005T,38.485535,-120.301168,3,1,N
7,T,1,B1006T,38.48717,-120.301145,3,1,N
8,T,1,B1007T,38.498532,-120.294889,3,1,N
9,T,1,B1009T,38.48558,-120.292175,3,1,N
10,T,1,B1014T,38.486164,-120.291353,3,1,N
11,T,1,B1016T,38.494342,-120.290836,3,1,N
12,T,1,B1019T,38.495773,-120.289228,3,1,N
13,T,1,B1021T,38.484306,-120.287587,3,1,N
14,T,1,B1022T,38.503684,-120.260184,3,1,N
15,T,1,B1023T,38.502484,-120.25282,3,1,N
16,T,1,B1024T,38.501715,-120.252421,3,1,N
17,T,1,B1025T,38.508286,-120.252185,3,1,N
18,T,1,B1026T,38.504672,-120.251579,3,1,N
19,T,2,B1008T,38.499689,-120.293201,3,1,F
20,T,2,B1015T,38.496784,-120.290925,3,1,F
21,T,2,B1017T,38.500038,-120.290516,3,1,F
22,T,2,B1018T,38.498098,-120.289742,3,1,F
23,T,2,B1020T,38.499478,-120.288459,3,1,F
24,I,3,B1010I,38.495087,-120.292206,3,2,F
25,I,3,B1011I,38.496437,-120.292211,3,2,F
26,I,3,B1012I,38.497786,-120.292216,3,2,F
27,I,3,B1013I,38.499136,-120.292221,3,2,F
28,C,1,B1000C,38.510815,-120.351062,3,1,N
29,C,1,B1001C,38.502963,-120.350087,3,1,N
30,C,1,B1002C,38.484861,-120.30133,3,1,N
31,C,1,B1003C,38.484154,-120.301298,3,1,N
32,C,1,B1004C,38.486293,-120.300647,3,1,N
33,C,1,B1005C,38.48596,-120.300595,3,1,N
34,C,1,B1006C,38.487163,-120.300445,3,1,N
35,C,1,B1007C,38.499059,-120.295161,3,1,N
36,C,1,B1009C,38.485718,-120.292846,3,1,N
37,C,1,B1014C,38.486411,-120.29213,3,1,N
38,C,1,B1016C,38.493676,-120.290598,3,1,N
39,C,1,B1019C,38.49625,-120.288775,3,1,N
40,C,1,B1021C,38.484297,-120.288396,3,1,N
41,C,1,B1022C,38.503459,-120.259488,3,1,N
42,C,1,B1023C,38.501985,-120.253125,3,1,N
43,C,1,B1024C,38.501549,-120.253134,3,1,N
44,C,1,B1025C,38.507815,-120.251811,3,1,N
45,C,1,B1026C,38.504771,-120.250884,3,1,N
46,C,2,B1008C,38.500233,-120.293484,3,1,F
47,C,2,B1015C,38.496886,-120.290169,3,1,F
48,C,2,B1017C,38.499592,-120.290069,3,1,F
49,C,2,B1018C,38.497766,-120.289193,3,1,F
50,C,2,B1020C,38.499042,-120.288005,3,1,F
