"Regen_Plot","Fire","Year.of.Fire","survey_years_post","Easting","Northing","SHRUB","dominant_shrub_ht_cm"
"AMR1300192","AMERICAN RIVER",2008,5,711779.45,4340583.37,12,15
"AMR1300253","AMERICAN RIVER",2008,5,709339.22,4341505.87,45,45
"AMR1300260","AMERICAN RIVER",2008,5,710532.15,4341738.01,40,30
"AMR1300264","AMERICAN RIVER",2008,5,711525.51,4341981.75,20,40
"AMR1300268","AMERICAN RIVER",2008,5,711322.21,4342167.62,28,70
"AMR1300269","AMERICAN RIVER",2008,5,711523.19,4342177.65,15,20
"AMR1300270","AMERICAN RIVER",2008,5,711721.21,4342184.74,45,40
"AMR1300271","AMERICAN RIVER",2008,5,712121.5,4342197.15,70,50
"AMR1300392","AMERICAN RIVER",2008,5,702410.15,4345076.5,70,5
"AMR1300408","AMERICAN RIVER",2008,5,703606.42,4345310,52,40
"ANT1200191","ANTELOPE",2007,5,702017.1,4441513.22,45,110
"ANT1200192","ANTELOPE",2007,5,702218.75,4441524.16,85,100
"ANT1200676","ANTELOPE",2007,5,703224.13,4444750.31,35,75
"ANT1201769","ANTELOPE",2007,5,702793.56,4448151.51,87,100
"ANT1201951","ANTELOPE",2007,5,702378.27,4448729.11,80,100
"ANT1202011","ANTELOPE",2007,5,702173.83,4448918.19,60,90
"ANT1202137","ANTELOPE",2007,5,702757.92,4449342.36,27,60
"ANT1202172","ANTELOPE",2007,5,706463.76,4449659.98,2,4
"ANT1202174","ANTELOPE",2007,5,706663.73,4449666.66,10,4
"ANT1202342","ANTELOPE",2007,5,702768.32,4448940.37,65,100
"BAR1111266","BAR",2006,5,484589.22,4515168.61,50,110
"BAR1111267","BAR",2006,5,484811.41,4515159.01,15,40
"BAR1111316","BAR",2006,5,484219.65,4514957.19,25,100
"BAR1111317","BAR",2006,5,484404.22,4514962.46,68,300
"BAR1111418","BAR",2006,5,484032.88,4514551.5,3,120
"BAR1111479","BAR",2006,5,486443.45,4514430.44,10,150
"BAR1111480","BAR",2006,5,486646.15,4514430.3,12,100
"BAR1111516","BAR",2006,5,484046.44,4514142.39,70,130
"BAR1111670","BAR",2006,5,484863.27,4513580.79,70,150
"BAR1111671","BAR",2006,5,485064.23,4513594.94,50,150
"BAR1111672","BAR",2006,5,485266.61,4513592.95,15,200
"BAR1111713","BAR",2006,5,483477.96,4513332.42,60,130
"BAR1111718","BAR",2006,5,484475.87,4513368.17,50,170
"BAR1111719","BAR",2006,5,484669.44,4513377.5,31,160
"BAR1111762","BAR",2006,5,483481.54,4513126.02,50,150
"BAR1111763","BAR",2006,5,483675.24,4513136.5,90,100
"BAR1111765","BAR",2006,5,484083.65,4513151.65,5,180
"BAR1111769","BAR",2006,5,484870.7,4513168,80,190
"BAR1111810","BAR",2006,5,483483.5,4512945.88,45,50
"BAR1111858","BAR",2006,5,483491.91,4512730.85,85,140
"BAR1111859","BAR",2006,5,483691.32,4512736.91,75,160
"BAR1111901","BAR",2006,5,482900.14,4512507.95,0,NA
"BAR1111902","BAR",2006,5,483099.78,4512517.34,25,120
"BAR1111905","BAR",2006,5,483699.02,4512557.11,15,80
"BAR1111944","BAR",2006,5,482905.04,4512317.02,30,160
"BAR1111945","BAR",2006,5,483098.63,4512323.37,85,150
"BAR1111946","BAR",2006,5,483300.21,4512325.2,75,170
"BAR1111947","BAR",2006,5,483502.29,4512333.86,75,150
"BAR1111948","BAR",2006,5,483694.79,4512332.57,87,150
"BAR1111984","BAR",2006,5,482908.19,4512019.98,99,200
"BAR1112021","BAR",2006,5,482709.16,4511910.34,15,150
"BAR1112022","BAR",2006,5,482912.02,4511917.67,0.5,50
"BAR1112056","BAR",2006,5,482715.67,4511699.02,60,150
"BAR1112118","BAR",2006,5,483116.98,4511323.89,65,120
"BST1100043","BASSETTS",2006,5,705413.47,4388338.33,60,150
"BST1100046","BASSETTS",2006,5,706012.85,4388356.83,90,130
"BST1100047","BASSETTS",2006,5,706230.59,4388363.98,45,70
"BST1100063","BASSETTS",2006,5,705405.32,4388539.64,70,50
"BST1100064","BASSETTS",2006,5,705606.08,4388544.26,60,120
"BST1100067","BASSETTS",2006,5,706207.3,4388554.78,40,100
"BST1100119","BASSETTS",2006,5,707194.51,4388996.51,65,45
"BST1100160","BASSETTS",2006,5,705181.11,4389329.26,36,25
"BST1100193","BASSETTS",2006,5,706771.27,4389588.49,45,45
"BST1100196","BASSETTS",2006,5,707373.73,4389602.67,65,110
"BST1100263","BASSETTS",2006,5,707145.89,4390194.72,4,60
"BST1100266","BASSETTS",2006,5,707757.57,4390214.33,80,100
"BST1100283","BASSETTS",2006,5,706943.55,4390393.95,95,80
"BST1100284","BASSETTS",2006,5,707139.75,4390400.6,10,170
"BST1100305","BASSETTS",2006,5,707136.73,4390603.91,36,35
"BST1100308","BASSETTS",2006,5,707740.65,4390615.67,1,30
"BST1100354","BASSETTS",2006,5,708730.32,4391042.33,85,70
"BTU1300021","BTU LIGHTENING",2008,5,628820.98,4408394.79,95,250
"BTU1300024","BTU LIGHTENING",2008,5,629418.56,4408421.74,66,105
"BTU1300025","BTU LIGHTENING",2008,5,628416.92,4408587.53,96,200
"BTU1300026","BTU LIGHTENING",2008,5,628812.98,4408603.62,64,150
"BTU1300027","BTU LIGHTENING",2008,5,629095.49,4408609.81,90,230
"BTU1300028","BTU LIGHTENING",2008,5,629216.53,4408617.69,95,150
"BTU1300067","BTU LIGHTENING",2008,5,631715.66,4411690.21,1,17
"BTU1300084","BTU LIGHTENING",2008,5,632508.05,4411917.07,10,38
"BTU1300085","BTU LIGHTENING",2008,5,632705.35,4411924.9,17,130
"BTU1300086","BTU LIGHTENING",2008,5,632909.77,4411933.92,5,125
"BTU1300096","BTU LIGHTENING",2008,5,632706.24,4412125.05,27,56
"BTU1300097","BTU LIGHTENING",2008,5,632898.79,4412133.06,15,117
"BTU1300098","BTU LIGHTENING",2008,5,633104.24,4412146.28,15,75
"BTU1300152","BTU LIGHTENING",2008,5,639724.53,4423753.45,7,70
"BTU1300153","BTU LIGHTENING",2008,5,639930.92,4423760.45,5,170
"BTU1300154","BTU LIGHTENING",2008,5,640726.51,4423785.5,58,150
"BTU1300155","BTU LIGHTENING",2008,6,640926.32,4423795.32,65,150
"BTU1300156","BTU LIGHTENING",2008,5,639721.72,4423955.3,8,160
"BTU1300157","BTU LIGHTENING",2008,5,639923.54,4423961.85,15,80
"BTU1300158","BTU LIGHTENING",2008,5,640123.45,4423965.55,26,125
