"","Regen_Plot","ID","Fire","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","CGA","ExistVeg","dominant_shrub_3","x","y","optional","rel_yrs","plant_yrs","salv_yrs","survey_year","survey.years.post","released","salvaged","planted","managed"
"1","AMR1300176","2331","AMERICAN RIVER","7/9/2013 0:00:00","CP, MS, PB, RD",2008,"2926 CP","NAD83 UTM zone 10",712383.38,4340905.04,"28","19","GRANITE",NA,"2","5","1","77","15","0","5","0","0","30","0","30","1","3",NA,"NA","NA","0","3","12","6","6",NA,"5","10","30","20","240","120","120","NA","2.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",712383.38,4340905.04,"TRUE","2011","2009","",2013,5,1,0,1,1
"2","AMR1300247","2346","AMERICAN RIVER","7/31/2013 0:00:00","CP, MS, NO, PB",2008,"247 AMR CPP","NAD83 UTM zone 10",710156.48,4341331.2,"292","14","GRANITE",NA,"2","1","0.5","93","5","6","35","0.5","0","1","8","0","1","5",NA,"NA","NA","0","2","10","0","10",NA,"35","40","1","20","200","0","200","55","29.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",710156.48,4341331.2,"TRUE","","2009","",2013,5,0,0,1,1
"3","AMR1300255","2348","AMERICAN RIVER","7/9/2013 0:00:00","CP, RD, MS, PB",2008,"255 AMR CPP","NAD83 UTM zone 10",712143.39,4341598.07,"306","15","GRANITE",NA,"3","0.5","0.5","93","4","1","85","0","0","0","0","0","1","3",NA,"NA","NA","0","1","0","0","0","HIGHLY MANAGED, SALVAGE LOGGING: STUMPS EVERYWHERE","85","85","0","20","0","0","0","22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",712143.39,4341598.07,"TRUE","","2010","2009, 2011",2013,5,0,1,1,1
"4","AMR1300377","2364","AMERICAN RIVER","6/27/2013 0:00:00","CP, PB",2008,"2894 CP","NAD83 UTM zone 10",708035,4344870,"140","35","GRANITE",NA,"0.5","6","0.5","86","8","8","0","0","0","30","45","10","1","3",NA,"NA","NA","0.5","3.5","14","2","12","BAF 40","0","38","30","40","560","80","480","30","6.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",708035,4344870,"TRUE","","2010","",2013,5,0,0,1,1
"5","ANT1200138","1950","ANTELOPE","9/6/2012 0:00:00","JM, EA",2007,"2459 CP","NAD83 UTM zone 10",702540,4443738.11,"340","70","GRANITE",NA,"0.5","2","2","94","2","5","0","0","0","100","0","100","1","0",NA,"NA","NA","3","5","11","11","0","CONTROL","0","5","100","20","220","220","0","160","7.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",702540,4443738.11,"TRUE","","2010","2009",2012,5,0,1,1,1
"6","ANT1200145","1951","ANTELOPE","9/6/2012 0:00:00","JM EA",2007,"9/6","NAD83 UTM zone 10",702539.32,4443933.02,"274","56","GRANITE",NA,"0","25","5","65","5","0","0","0.5","0","95","0","95","1","0",NA,"NA","NA","3","4","7","6","1","CONTROL","0.5","0.5","95","20","140","120","20","NA","1.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",702539.32,4443933.02,"TRUE","","2010","2009",2012,5,0,1,1,1
"7","ANT1200538","1839","ANTELOPE","6/21/2012 0:00:00","CP, KT, LJ",2007,"ANT109-0537 LJ","NAD83 UTM zone 10",702839.2,4444140.72,"166","22","GRANITE",NA,"4","0","0.5","96","0.5","10","0.5","60","0","0","1","0","1","4",NA,"NA","NA","0","0.5","5","4","1","BAF 20.  ON EDGE OF HIGH SEVERITY","60","70","0","20","100","80","20","6","8.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",702839.2,4444140.72,"TRUE","","2010","2009",2012,5,0,1,1,1
"8","ANT1201581","1875","ANTELOPE","6/20/2012 0:00:00","CP, LJ, KT",2007,"ANT109-0511 LJ","NAD83 UTM zone 10",709127.53,4447741.19,"224","3","GRANITE",NA,"0","0","0.5","100","0","0","15","98","0","0","0","0","1","1",NA,"NA","NA","1","4","4","4","0","BAF 10.  STAND IS A BEAUTIFUL MEADOW APROX 100mX400m","100","100","0","10","40","40","0","NA","15.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",709127.53,4447741.19,"TRUE","","","2008",2012,5,0,1,0,1
"9","ANT1201773","1880","ANTELOPE","9/4/2012 0:00:00","CP, EA, JM",2007,"ANT2736 CP","NAD83 UTM zone 10",703201.19,4448155.54,"181","65","GRANITE",NA,"0.5","35","0.5","65","0.5","0.5","0.5","1","0","7","0.5","7","1","2",NA,"NA","NA","0.5","2.5","8","7","1","BAF 20","1","0.5","7","20","160","140","20","40","3.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",703201.19,4448155.54,"TRUE","","2010","2009",2012,5,0,1,1,1
"10","ANT1201775","1881","ANTELOPE","9/4/2012 0:00:00","CP, EA, JM",2007,"ANT2735 CP","NAD83 UTM zone 10",703397.74,4448159.28,"195","37","GRANITE",NA,"1","0","0.5","94","5","0","1","70","0","0","30","0","1","4",NA,"NA","NA","0","1","6","0","6","BAF 10","71","75","0","10","60","0","60","NA","38","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",703397.74,4448159.28,"TRUE","","2010","2009",2012,5,0,1,1,1
