Fire,Type,Seedling Density,Normal Annual Precipitation,Min. Annual Temp.,Mean Annual Temp.,Max. Annual Temp.,Snowpack,Winter Solar Insolation,Winter/Spring Solar Insolation,Spring Solar Insolation,Spring/Summer Solar Insolation,Summer Solar Insolation,Aspect,Slope,Elevation,Topographic Position Index 100,Topographic Position Index 500,Topographic Position Index 2000,Topographic Position Index 5000,Total Water Index,Seed Source,%Forb,%Grasses,%Shrubs,Ave. Shrub Ht,Coarse Woody Debris,Rotten Coarse Woody Debris,Litter Depth,Duff Depth,Litter + Duff Depth
AmRiv,Maximum,3.218475745,1777.30371,4.063057952,8.634191616,13.20169488,350.7809102,321.1165313,949.856588,3682.286598,7184.613635,8661.716834,30.87853044,10.65427949,1629.471196,-2.096495677,-35.26713001,-28.63041596,3.151277339,4.641679308,1.190331698,0,0,30,0,0,0,0.25,0,0.25
AmRiv,Median,5.407746538,1798.626485,4.332336643,9.267197598,14.10931053,660.6301308,3470.94264,4624.291912,7033.73744,8933.758606,9567.650193,140.962541,18.75268748,1878.372775,0.367422843,0.726119587,34.26593831,139.6476648,6.298098144,2.178681515,0.5,0.5,75,85.5,885.625,506.5,1.1875,0.375,1.625
AmRiv,Minimum,3.218475745,1777.30371,4.063057952,8.634191616,13.20169488,350.7809102,321.1165313,949.856588,3682.286598,7184.613635,8661.716834,30.87853044,10.65427949,1629.471196,-2.096495677,-35.26713001,-28.63041596,3.151277339,4.641679308,1.190331698,0,0,30,0,0,0,0.25,0,0.25
Ctnwd,Maximum,3.218475745,847.4938487,0.280135995,6.083394627,11.78322908,553.4644521,2032.567102,3140.003685,5825.836078,8522.815645,9588.544591,243.7669747,16.72473485,2248.061337,-0.160599682,-11.41476139,-42.00258401,-27.14750094,5.103176807,1.745855195,0,0.5,60,55,64,0,0.75,0.25,1.25
Ctnwd,Median,5.085651076,862.8656777,0.339667915,6.297819655,12.17104706,593.2757475,3302.475586,4478.178134,6968.573922,9055.767228,9742.735886,260.1940516,18.46859686,2362.308097,0.247610673,8.475021977,11.80630997,44.32168179,6.536650904,2.146747572,0.5,0.5,95,80,279,788,1.4375,0.875,2.3125
Ctnwd,Minimum,3.218475745,847.4938487,0.280135995,6.083394627,11.78322908,553.4644521,2032.567102,3140.003685,5825.836078,8522.815645,9588.544591,243.7669747,16.72473485,2248.061337,-0.160599682,-11.41476139,-42.00258401,-27.14750094,5.103176807,1.745855195,0,0.5,60,55,64,0,0.75,0.25,1.25
MoonAnt,Maximum,3.218475745,614.4739195,0.935701387,7.704487731,13.64448957,203.5998078,489.1110688,1256.757354,3971.764753,7286.438966,8837.030057,25.1723703,6.431940859,1407.262472,-3.71313475,-31.26493623,-78.11887015,-166.9298059,4.789301757,1.354108439,0,0,0.5,0,0,0,0.25,0,0.5
MoonAnt,Median,3.218475745,733.9168106,2.241803052,8.729002255,15.10507813,331.6774976,2510.12008,3654.425921,6257.462142,8696.961343,9519.430061,242.2025886,18.3375917,1791.984488,0.332986321,2.940884257,-1.289670139,13.04687241,6.232802792,1.890115438,0.5,5,90,106,995.5,0,2.125,0.75,3
MoonAnt,Minimum,3.218475745,614.4739195,0.935701387,7.704487731,13.64448957,203.5998078,489.1110688,1256.757354,3971.764753,7286.438966,8837.030057,25.1723703,6.431940859,1407.262472,-3.71313475,-31.26493623,-78.11887015,-166.9298059,4.789301757,1.354108439,0,0,0.5,0,0,0,0.25,0,0.5
Piute,Maximum,3.218475745,434.5371269,2.260663082,7.926284784,13.48075254,39.00469784,757.9079955,1706.511422,4503.516675,7530.854962,8711.575636,11.40313924,5.749542141,2104.772852,-2.53121335,-31.14764689,-43.30916967,-56.01457688,4.962040144,1.176091259,0,0,0.5,0,0,0,0.375,0,0.375
Piute,Median,3.910641595,660.9022548,2.502480023,8.496567705,14.52829153,149.4094348,2744.90424,3846.489401,6433.466428,8827.019408,9474.947108,134.5816333,19.3133237,2316.642383,0.111130145,8.027604011,21.42587756,60.54365629,6.045914117,1.712228465,0.5,2.75,70,60,1682.625,0,1,0.25,1.4375
Piute,Minimum,3.218475745,434.5371269,2.260663082,7.926284784,13.48075254,39.00469784,757.9079955,1706.511422,4503.516675,7530.854962,8711.575636,11.40313924,5.749542141,2104.772852,-2.53121335,-31.14764689,-43.30916967,-56.01457688,4.962040144,1.176091259,0,0,0.5,0,0,0,0.375,0,0.375
Power,Maximum,3.218475745,1142.789463,4.671090898,10.94997014,17.22884951,0,889.9542515,1795.867486,4338.690474,7316.046728,8517.912417,108.1639093,6.836359574,1070.629428,-1.516304786,-23.70103482,-108.0627813,-220.7747004,5.349747121,1.209515015,0,0,5,0,0,0,0.375,0,0.375
Power,Median,3.910641595,1174.35971,5.364386993,12.71623452,20.06808213,6.511134555,3937.624767,5132.928588,7343.255336,8963.153685,9300.387007,144.646001,22.40486069,1305.5448,0.510006228,2.904317981,-17.340488,-79.98236853,6.54774094,2.166955272,0.5,5,80,75,729,412,2.25,1.3125,3.875
Power,Minimum,3.218475745,1142.789463,4.671090898,10.94997014,17.22884951,0,889.9542515,1795.867486,4338.690474,7316.046728,8517.912417,108.1639093,6.836359574,1070.629428,-1.516304786,-23.70103482,-108.0627813,-220.7747004,5.349747121,1.209515015,0,0,5,0,0,0,0.375,0,0.375
