"","V1","V2"
"1","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Shrubs * Year Planted * Planting + Seed Source + Topographic Position Index 2000 * Elevation + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","459.063865976631"
"2","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Shrubs * Year Planted * Planting + Seed Source + Topographic Position Index 2000 * Elevation + Litter + Duff Depth * Planting + (1 | Fire) + (1 | Fire:PairID)","460.818366482103"
"3","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Shrubs * Year Planted * Planting + Seed Source + Topographic Position Index 2000 * Elevation * Planting + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","457.972930420404"
"4","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation * Planting + %Shrubs * Year Planted * Planting + Seed Source + Topographic Position Index 2000 * Elevation + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","463.518267268987"
"5","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Shrubs * Year Planted * Planting + Seed Source + Topographic Position Index 2000 * Elevation + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","459.063865976631"
"6","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 * Elevation + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","458.239720520948"
"7","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 * Min. Annual Temp. + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","466.045487196964"
"8","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 * Normal Annual Precipitation + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","465.465710155362"
"9","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Total Water Index * Elevation + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","469.241574748377"
"10","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Total Water Index * Summer Solar Insolation + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","471.822634907812"
"11","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Total Water Index * Normal Annual Precipitation + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","470.475161482082"
"12","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation * Summer Solar Insolation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","473.661012524278"
"13","Seedling Density = Max. Annual Temp. * Normal Annual Precipitation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","489.654114464239"
"14","Seedling Density = Min. Annual Temp. * Normal Annual Precipitation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","468.855370980415"
"15","Seedling Density = Mean Annual Temp. * Normal Annual Precipitation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","482.595496201875"
"16","Seedling Density = Normal Annual Precipitation * Summer Solar Insolation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","492.156337462185"
"17","Seedling Density = Mean Annual Temp. * Summer Solar Insolation + %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","488.856452935002"
"18","Seedling Density = %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","488.19195271627"
"19","Seedling Density = %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Total Water Index + Litter + Duff Depth + (1 | Fire) + (1 | Fire:PairID)","487.997749553902"
"20","Seedling Density = %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Total Water Index + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","486.629896716143"
"21","Seedling Density = %Grasses + %Shrubs * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","487.42573079074"
