"","V1","V2"
"1","ln.dens.planted ~ scale(tpi5000) * scale(elev) + scale(Shrubs) * facts.planting.first.year * fsplanted + scale(normal_annual_precip) * scale(tmin) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","453.995274506574"
"2","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(ShrubHt) + scale(Shrubs) * facts.planting.first.year * fsplanted + scale(normal_annual_precip) * scale(tmin) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","455.295028441063"
"3","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(Shrubs) * facts.planting.first.year * fsplanted + scale(normal_annual_precip) * scale(tmin) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","460.276477988382"
"4","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(Shrubs) * facts.planting.first.year * fsplanted + scale(normal_annual_precip) * scale(tmin) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","460.276477988382"
"5","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(Shrubs) * facts.planting.first.year * fsplanted * scale(ShrubHt) + scale(normal_annual_precip) * scale(tmin) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","458.267670020817"
"6","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(Shrubs) * scale(ShrubHt) + scale(Shrubs) * facts.planting.first.year * fsplanted + scale(normal_annual_precip) * scale(tmin) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","454.160399554103"
"7","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(ShrubHt) + scale(Shrubs) * facts.planting.first.year * fsplanted + scale(normal_annual_precip) * scale(tmin) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","455.295028441063"
"8","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) * facts.planting.first.year * fsplanted + scale(normal_annual_precip) * scale(tmin) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","454.366265783567"
"9","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) * facts.planting.first.year * fsplanted + scale(normal_annual_precip) * scale(tmin) + scale(bcm_snowpack) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","454.273107442005"
"10","ln.dens.planted ~ scale(tpi5000) * scale(slope_dem) + scale(elev) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) * facts.planting.first.year * fsplanted + facts.released + scale(normal_annual_precip) * scale(tmin) + scale(bcm_snowpack) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","454.44564085717"
"11","ln.dens.planted ~ scale(tpi5000) + scale(elev) * scale(slope_dem) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) * facts.planting.first.year * fsplanted + facts.released + scale(normal_annual_precip) * scale(tmin) + scale(bcm_snowpack) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","454.421296997842"
"12","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) * facts.planting.first.year * fsplanted + facts.released + scale(normal_annual_precip) * scale(tmin) + scale(bcm_snowpack) + scale(log10SeedWallConifer) + scale(LitDuff) + (1 | Fire) + (1 | Fire:PairID)","452.445769996481"
"13","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) * facts.planting.first.year * fsplanted + facts.released + scale(rad_summer) + scale(normal_annual_precip) * scale(tmin) + scale(bcm_snowpack) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + (1 | Fire) + (1 | Fire:PairID)","452.985371920862"
"14","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) * facts.planting.first.year * fsplanted + facts.released + scale(rad_summer) + scale(normal_annual_precip) * scale(tmin) + scale(bcm_snowpack) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","452.699986191124"
